name,division,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Detroit Lions,NFC North,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.5,8.0,7.0,8.0,8.0,8.0,8.0,,7.5,7.0,,8.0,8.0,,7.08,,
Minnesota Vikings,NFC North,21.0,23.0,21.0,21.0,21.0,26.0,19.0,15.0,17.0,20.0,21.0,21.0,21.0,18.0,23.0,19.0,20.0,,17.0,17.0,,17.1,,
New Orleans Saints,NFC South,1.83,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.0,2.0,2.0,1.83,2.0,2.0,,2.0,2.0,,2.0,2.0,1.95,1.79,,
Atlanta Falcons,NFC South,2.5,2.38,2.25,2.25,2.25,2.38,2.25,2.25,2.25,2.25,2.38,2.38,2.25,2.3,,2.2,2.25,,2.25,2.2,2.33,2.44,,
Carolina Panthers,NFC South,11.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,11.0,11.0,9.5,,11.0,10.0,,11.0,10.0,,8.79,,
Tampa Bay Buccaneers,NFC South,13.0,11.0,13.0,11.0,13.0,13.0,13.0,9.0,13.0,15.0,11.0,13.0,13.0,13.0,,11.0,15.0,,13.0,11.0,,,,
Seattle Seahawks,NFC West,1.66,1.73,1.73,1.67,1.73,1.67,1.67,1.67,1.67,1.7,1.73,1.67,1.73,1.7,1.53,1.8,1.7,,1.73,1.65,1.72,1.71,,
San Francisco 49ers,NFC West,2.4,2.38,2.38,2.38,2.38,2.6,2.38,2.4,2.38,2.5,2.38,2.4,2.38,2.35,2.88,2.25,2.5,,2.25,2.6,,2.42,,
St Louis Rams,NFC West,15.0,13.0,13.0,13.0,13.0,11.0,13.0,11.0,12.0,10.0,13.0,15.0,11.0,13.0,12.0,13.0,10.0,,15.0,13.0,,15.3,,
Arizona Cardinals,NFC West,29.0,26.0,26.0,34.0,26.0,34.0,34.0,26.0,34.0,20.0,34.0,29.0,29.0,26.0,23.0,29.0,20.0,,34.0,29.0,32.0,16.2,,
