name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Valencia,a,1.53,1.53,,1.5,,,1.62,1.53,1.5,1.5,1.57,,,1.53,,,,1.5,1.5,,,,
Swansea,a,2.38,2.38,,2.5,,,2.2,2.38,2.5,2.4,2.25,,,2.37,,,,2.4,2.5,,1.48,,
Ludogorets,b,1.3,1.33,,1.36,,,1.29,1.33,1.33,1.3,1.36,,,1.35,,,,1.3,1.36,,,,
PSV Eindhoven,b,3.4,3.25,,3.0,,,3.5,3.0,3.25,2.75,2.88,,,3.0,,,,2.75,3.0,,,,
Salzburg,c,1.07,1.08,,1.08,,,1.08,1.07,1.07,1.07,1.06,,,1.07,,,,1.07,1.07,,,,
Esbjerg fB,c,8.5,7.5,,7.0,,,7.0,7.0,7.5,7.0,7.5,,,7.5,,,,7.0,7.0,,,,
Rubin Kazan,d,1.01,1.01,,1.01,,,1.01,1.01,1.01,1.01,1.01,,,1.01,,,,1.01,,,,,
Wigan,d,26.0,17.0,,17.0,,,26.0,21.0,26.0,25.0,13.0,,,17.0,,,,25.0,17.0,,,,
Zulte Waregem,d,,,,,,,,,,,1001.0,,,,,,,,,,,,
Maribor,d,,,,,,,,,,,,,,,,,,,,,,,
Fiorentina,e,1.08,1.08,,1.08,,,1.06,1.08,1.08,1.07,1.09,,,1.08,,,,1.07,1.08,,,,
Dnipro,e,8.0,7.5,,7.0,,,8.0,6.5,7.5,7.0,6.0,,,7.0,,,,7.0,7.0,,,,
Eintracht Frankfurt,f,1.22,1.22,,1.22,,,1.2,1.22,1.22,1.2,1.25,,,1.22,,,,1.2,1.22,,,,
Maccabi Tel Aviv,f,4.33,4.0,,3.75,,,4.33,4.0,4.0,4.25,3.75,,,3.8,,,,4.25,3.75,,,,
APOEL Nicosia,f,41.0,34.0,,34.0,,,51.0,41.0,34.0,30.0,23.0,,,34.0,,,,30.0,34.0,,,,
Bordeaux,f,,,,,,,,,,,751.0,,,,,,,,,,,,
Genk,g,1.73,1.8,,1.8,,,1.67,1.8,1.8,1.7,1.85,,,1.75,,,,1.7,1.8,,,,
Dynamo Kiev,g,2.1,2.0,,1.91,,,2.2,1.91,2.0,2.0,1.85,,,1.9,,,,2.0,1.91,,,,
Thun,g,201.0,67.0,,67.0,,,201.0,101.0,67.0,100.0,81.0,,,101.0,,,,100.0,67.0,,,,
Sevilla,h,1.18,1.2,,1.18,,,1.17,1.2,1.18,1.17,1.2,,,1.17,,,,1.17,1.18,,,,
Slovan Liberec,h,5.0,4.5,,4.5,,,5.0,4.5,5.0,4.25,4.5,,,4.5,,,,4.25,4.5,,,,
Freiburg,h,41.0,34.0,,34.0,,,41.0,34.0,41.0,35.0,23.0,,,34.0,,,,35.0,34.0,,,,
Estoril,h,,,,,,,,,,,101.0,,,,,,,,,,,,
Betis,i,1.36,1.33,,1.33,,,1.4,1.3,1.33,1.35,1.29,,,1.3,,,,1.35,1.33,,,,
Lyon,i,3.25,3.5,,3.25,,,3.0,3.3,3.25,3.3,3.6,,,3.25,,,,3.3,3.25,,,,
Guimaraes,i,29.0,21.0,,23.0,,,26.0,26.0,29.0,27.0,19.0,,,26.0,,,,27.0,23.0,,,,
Trabzonspor,j,1.73,1.8,,1.73,,,1.8,1.73,1.8,1.8,1.67,,,1.75,,,,1.8,1.8,,,,
Lazio,j,2.1,1.91,,2.0,,,2.0,2.0,1.95,1.9,2.1,,,1.95,,,,1.9,1.95,,,,
Tottenham,k,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,
Anzhi Makhachkala,k,41.0,26.0,,29.0,,,,34.0,,40.0,21.0,,,,,,,40.0,29.0,,,,
PAOK Saloniki,l,1.8,1.73,,1.8,,,1.67,1.73,1.73,1.8,1.73,,,1.75,,,1.72,1.8,1.8,,,,
AZ Alkmaar,l,2.0,2.0,,1.91,,,2.1,2.0,2.0,1.9,2.0,,,1.95,,,2.0,1.9,1.91,,,,
