name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Swansea,a,1.67,1.67,,,,,1.53,1.67,1.62,1.65,1.62,1.62,1.62,,,1.6,1.65,1.56,,1.65,,1.54,,
Valencia,a,3.75,4.0,,,,,4.5,3.4,3.5,3.75,5.0,3.75,3.5,,,3.75,3.75,4.5,,4.0,,3.85,,
St Gallen,a,8.0,8.0,,,,,6.0,8.5,7.0,8.0,6.0,7.0,8.0,,,8.0,8.0,7.0,,7.0,,6.7,,
Kuban Krasnodar,a,10.0,9.0,,,,,13.0,11.0,10.0,10.0,8.0,11.0,10.0,,,10.0,10.0,13.0,,11.0,,9.55,,
PSV Eindhoven,b,2.38,2.5,,,,,2.88,2.5,2.25,2.4,2.75,2.75,2.5,,,2.5,2.4,2.5,,2.75,,,,
Chernomorets Odessa,b,2.88,3.5,,,,,3.5,3.75,3.0,3.25,2.75,3.5,3.25,,,3.5,3.25,3.5,,3.0,,1.24,,
Ludogorets,b,5.0,3.4,,,,,2.88,3.1,4.5,4.0,3.5,3.0,3.75,,,3.25,4.0,3.5,,3.75,,1.24,,
Din Zagreb,b,8.0,8.0,,,,,7.0,8.5,,7.5,9.0,8.0,7.0,,,8.0,7.5,8.0,,8.0,,1.24,,
Salzburg,c,1.73,1.67,,,,,1.67,1.67,1.62,1.7,1.8,1.62,1.67,,,1.6,1.7,1.65,,1.75,,1.1,,
Standard Liege,c,3.75,4.33,,,,,4.0,4.5,4.33,3.75,3.75,4.5,4.0,,,4.25,3.75,4.5,,3.75,,1.69,,
Esbjerg fB,c,5.0,4.33,,,,,5.0,4.0,4.33,5.0,4.0,5.0,5.0,,,5.0,5.0,5.0,,5.0,,1.48,,
Elfsborg,c,21.0,21.0,,,,,17.0,21.0,17.0,20.0,19.0,17.0,17.0,,,21.0,20.0,18.0,,17.0,,1.69,,
Rubin Kazan,d,1.33,1.25,,,,,1.25,1.25,1.29,1.3,1.2,1.25,1.29,,,1.25,1.3,1.24,,1.25,,1.19,,
Wigan,d,5.5,5.5,,,,,6.0,6.0,5.0,5.5,6.5,6.0,5.5,,,6.0,5.5,6.0,,6.0,,5.75,,
Zulte Waregem,d,8.0,9.0,,,,,9.0,10.0,8.0,8.0,10.0,9.0,8.0,,,9.0,8.0,9.5,,10.0,,7.65,,
Maribor,d,26.0,34.0,,,,,34.0,26.0,26.0,20.0,34.0,34.0,26.0,,,21.0,20.0,41.0,,29.0,,29.0,,
Fiorentina,e,1.44,1.44,,,,,1.4,1.44,1.5,1.5,1.44,1.44,1.44,,,1.5,1.5,1.4,,1.5,,,,
Dnipro,e,3.0,3.0,,,,,3.0,3.0,2.75,3.0,3.0,2.88,3.0,,,2.75,3.0,3.0,,2.75,,1.48,,
Pacos Ferreira,e,21.0,23.0,,,,,26.0,26.0,17.0,20.0,19.0,26.0,17.0,,,21.0,20.0,31.0,,26.0,,,,
Pandurii,e,41.0,34.0,,,,,34.0,34.0,34.0,40.0,41.0,41.0,34.0,,,34.0,40.0,41.0,,34.0,,,,
Eintracht Frankfurt,f,1.53,1.5,,,,,1.5,1.44,1.5,1.5,1.4,1.5,1.44,,,1.5,1.5,1.5,,1.4,,,,
Bordeaux,f,4.0,4.33,,,,,4.0,4.5,4.33,4.5,5.0,4.5,4.33,,,4.0,4.5,4.0,,5.0,,1.95,,
APOEL Nicosia,f,9.0,7.5,,,,,8.0,9.0,8.0,5.5,9.0,7.0,9.0,,,9.0,5.5,8.5,,9.0,,1.95,,
Maccabi Tel Aviv,f,13.0,13.0,,,,,13.0,13.0,10.0,13.0,10.0,13.0,13.0,,,13.0,13.0,15.0,,15.0,,1.95,,
Genk,g,1.91,2.0,,,,,2.1,1.91,2.1,1.9,1.85,2.1,2.0,,,2.0,1.9,2.0,,2.1,,,,
Dynamo Kiev,g,2.75,2.75,,,,,2.5,2.88,2.25,2.7,2.9,2.62,2.62,,,2.5,2.7,2.5,,2.75,,,,
Thun,g,8.5,7.0,,,,,7.0,6.5,7.0,8.0,6.0,5.0,6.5,,,7.0,8.0,7.0,,6.0,,2.9,,
Rapid Vienna,g,11.0,11.0,,,,,11.0,11.0,,10.0,13.0,17.0,11.0,,,12.0,10.0,13.0,,11.0,,,,
Sevilla,h,1.44,1.36,,,,,1.4,1.36,1.36,1.45,1.33,1.33,1.36,,,1.4,1.45,1.35,,1.4,,,,
Freiburg,h,4.0,5.0,,,,,6.0,5.0,4.33,4.0,5.0,6.0,5.0,,,5.0,4.0,6.0,,6.0,,1.95,,
Slovan Liberec,h,9.0,7.5,,,,,5.0,8.0,9.0,9.0,8.0,6.5,7.0,,,7.0,9.0,6.0,,6.0,,1.95,,
Estoril,h,26.0,26.0,,,,,34.0,17.0,21.0,25.0,21.0,26.0,21.0,,,21.0,25.0,36.0,,21.0,,1.95,,
Lyon,i,2.25,2.2,,,,,2.25,2.2,2.25,2.25,2.25,2.38,2.2,,,2.25,2.25,2.25,,2.2,,1.48,,
Betis,i,2.5,2.38,,,,,2.25,2.4,2.5,2.45,2.5,2.25,2.38,,,2.25,2.45,2.25,,2.4,,1.48,,
Guimaraes,i,4.5,5.0,,,,,5.0,4.0,4.0,4.5,4.33,4.5,4.8,,,5.0,4.5,5.0,,5.0,,,,
Rijeka,i,34.0,41.0,,,,,67.0,41.0,26.0,40.0,26.0,51.0,26.0,,,41.0,40.0,67.0,,41.0,,,,
Lazio,j,1.4,1.44,,,,,1.4,1.44,1.4,1.45,1.44,1.44,1.4,,,1.45,1.45,1.4,,1.4,,,,
Trabzonspor,j,3.75,3.5,,,,,4.0,3.4,3.5,3.5,3.3,3.5,3.75,,,3.5,3.5,3.8,,4.0,,,,
Legia Warsaw,j,13.0,11.0,,,,,9.0,13.0,10.0,13.0,10.0,11.0,11.0,,,10.0,13.0,11.0,,11.0,,3.85,,
Apollon Limassol,j,26.0,34.0,,,,,26.0,31.0,26.0,25.0,34.0,26.0,23.0,,,31.0,25.0,31.0,,26.0,,,,
Tottenham,k,1.13,1.17,,,,,1.14,1.14,1.14,1.15,1.14,1.12,1.17,,,1.13,1.15,1.15,,1.12,,1.13,,
Anzhi Makhachkala,k,7.0,6.0,,,,,6.0,6.5,6.0,7.0,6.0,6.0,5.5,,,6.0,7.0,6.0,,6.5,,5.75,,
FC Sheriff,k,26.0,21.0,,,,,21.0,19.0,17.0,25.0,34.0,34.0,21.0,,,26.0,25.0,51.0,,29.0,,19.0,,
Tromso,k,41.0,34.0,,,,,51.0,34.0,67.0,40.0,34.0,51.0,34.0,,,41.0,40.0,51.0,,51.0,,29.0,,
AZ Alkmaar,l,1.57,1.4,,,,,1.4,1.44,1.62,1.55,1.53,1.36,1.44,,,1.4,1.55,1.4,,1.5,,,,
PAOK Saloniki,l,2.75,3.5,,,,,3.25,3.6,2.75,2.75,2.88,3.5,3.0,,,3.25,2.75,3.3,,3.25,,,,
Maccabi Haifa,l,21.0,19.0,,,,,21.0,13.0,13.0,20.0,13.0,21.0,15.0,,,21.0,20.0,21.0,,17.0,,,,
Shakhter Karagandy,l,21.0,17.0,,,,,17.0,17.0,17.0,20.0,23.0,26.0,21.0,,,17.0,20.0,18.0,,21.0,,,,
