name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,1.11,1.11,,1.11,,1.0,1.1,,1.12,1.11,,1.06,,,1.1,1.09,,1.12,1.12,1.12,,,
vfl wolfsburg,Germany,17.0,17.0,17.0,,17.0,,26.0,17.0,,18.0,17.0,,21.0,,,17.0,13.5,,18.0,13.0,18.0,,,
schalke 04,Germany,51.0,41.0,41.0,,41.0,,151.0,41.0,,41.0,51.0,,51.0,,,41.0,35.0,,41.0,51.0,41.0,,,
bor monchengladbach,Germany,41.0,34.0,29.0,,29.0,,201.0,41.0,,34.0,34.0,,51.0,,,41.0,29.0,,34.0,26.0,34.0,,,
bayer leverkusen,Germany,41.0,34.0,34.0,,34.0,,251.0,34.0,,34.0,34.0,,41.0,,,34.0,27.0,,34.0,26.0,34.0,,,
bor dortmund,Germany,21.0,15.0,15.0,,15.0,,501.0,15.0,,14.0,15.0,,17.0,,,17.0,13.3,,14.0,19.0,14.0,,,
mainz 05,Germany,501.0,501.0,501.0,,501.0,,401.0,501.0,,501.0,401.0,,501.0,,,501.0,351.0,,501.0,501.0,501.0,,,
hoffenheim,Germany,251.0,251.0,251.0,,251.0,,751.0,251.0,,251.0,201.0,,501.0,,,751.0,201.0,,251.0,151.0,251.0,,,
eintracht frankfurt,Germany,501.0,501.0,401.0,,401.0,,1001.0,501.0,,501.0,401.0,,501.0,,,501.0,351.0,,501.0,501.0,501.0,,,
fc koln,Germany,751.0,501.0,501.0,,501.0,,1001.0,501.0,,801.0,501.0,,501.0,,,751.0,501.0,,801.0,751.0,801.0,,,
hannover 96,Germany,501.0,501.0,501.0,,501.0,,501.0,501.0,,801.0,501.0,,1001.0,,,1001.0,501.0,,801.0,251.0,801.0,,,
vfb stuttgart,Germany,501.0,501.0,251.0,,251.0,,1001.0,501.0,,301.0,301.0,,1001.0,,,751.0,301.0,,301.0,251.0,301.0,,,
hertha berlin,Germany,1001.0,751.0,751.0,,751.0,,1501.0,501.0,,801.0,751.0,,1001.0,,,1001.0,551.0,,801.0,751.0,801.0,,,
augsburg,Germany,751.0,301.0,251.0,,251.0,,2001.0,501.0,,301.0,251.0,,501.0,,,751.0,301.0,,301.0,251.0,301.0,,,
freiburg,Germany,,,,,,,2001.0,,,,,,,,,,,,,,,,,
ingolstadt,Germany,1501.0,1501.0,1001.0,,1001.0,,,501.0,,2001.0,1001.0,,2001.0,,,1001.0,1001.0,,2001.0,751.0,2001.0,,,
werder bremen,Germany,501.0,301.0,251.0,,251.0,,2001.0,501.0,,501.0,351.0,,1001.0,,,501.0,301.0,,501.0,251.0,501.0,,,
hamburg,Germany,501.0,301.0,301.0,,301.0,,2501.0,501.0,,501.0,501.0,,1001.0,,,501.0,401.0,,501.0,251.0,501.0,,,
paderborn,Germany,,,,,,,2501.0,,,,,,,,,,,,,,,,,
darmstadt,Germany,10001.0,1501.0,1001.0,,1001.0,,,501.0,,3001.0,1501.0,,2001.0,,,2501.0,1001.0,,3001.0,1001.0,3001.0,,,
barcelona,Spain,1.73,1.8,1.73,,1.73,,,1.73,,1.7,,,1.67,1.73,,1.8,,1.73,1.7,,1.7,,,
real madrid,Spain,2.63,2.5,2.63,,2.63,,,2.5,,2.6,,,2.38,2.5,,2.5,,2.5,2.6,,2.6,,,
atletico madrid,Spain,15.0,13.0,17.0,,17.0,,,13.0,,21.0,,,21.0,15.0,,15.0,,15.0,21.0,,21.0,,,
seville,Spain,41.0,51.0,41.0,,41.0,,,51.0,,51.0,,,67.0,41.0,,51.0,,41.0,51.0,,51.0,,,
valencia,Spain,41.0,34.0,29.0,,29.0,,,34.0,,51.0,,,67.0,34.0,,34.0,,34.0,51.0,,51.0,,,
villarreal,Spain,101.0,101.0,301.0,,301.0,,,226.0,,251.0,,,251.0,101.0,,251.0,,101.0,251.0,,251.0,,,
athletic bilbao,Spain,201.0,101.0,401.0,,401.0,,,301.0,,251.0,,,251.0,201.0,,251.0,,201.0,251.0,,251.0,,,
celta vigo,Spain,,501.0,501.0,,501.0,,,501.0,,501.0,,,501.0,501.0,,501.0,,501.0,501.0,,501.0,,,
malaga,Spain,501.0,501.0,501.0,,501.0,,,501.0,,501.0,,,501.0,501.0,,501.0,,501.0,501.0,,501.0,,,
espanyol,Spain,1001.0,1001.0,751.0,,751.0,,,501.0,,1001.0,,,1001.0,751.0,,751.0,,751.0,1001.0,,1001.0,,,
