name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.03,1.06,,1.05,,1.05,1.05,1.07,1.06,1.04,1.06,1.03,,1.07,,1.06,1.06,,1.07,1.04,1.05,1.04,,1.07,
bor dortmund,Germany,34.0,15.0,,17.0,,15.0,15.0,13.0,17.0,30.0,13.0,26.0,,15.0,,17.0,15.0,,15.0,30.0,17.0,30.0,,13.1,
bayer leverkusen,Germany,34.0,21.0,,26.0,,23.0,21.0,26.0,21.0,55.0,21.0,51.0,,21.0,,23.0,21.0,,21.0,55.0,26.0,55.0,,42.0,
vfl wolfsburg,Germany,101.0,41.0,,51.0,,51.0,67.0,41.0,51.0,100.0,41.0,67.0,,51.0,,67.0,41.0,,51.0,100.0,101.0,100.0,,97.0,
schalke 04,Germany,126.0,81.0,,67.0,,67.0,81.0,67.0,51.0,150.0,67.0,101.0,,67.0,,81.0,67.0,,67.0,150.0,101.0,150.0,,223.0,
bor monchengladbach,Germany,151.0,126.0,,81.0,,101.0,126.0,101.0,67.0,125.0,151.0,151.0,,101.0,,126.0,76.0,,101.0,125.0,75.0,125.0,,93.0,
hoffenheim,Germany,151.0,151.0,,101.0,,151.0,126.0,176.0,151.0,150.0,81.0,101.0,,151.0,,151.0,101.0,,151.0,150.0,101.0,150.0,,159.0,
mainz 05,Germany,401.0,251.0,,301.0,,301.0,401.0,501.0,301.0,400.0,301.0,401.0,,251.0,,501.0,351.0,,251.0,400.0,251.0,400.0,,422.0,
eintracht frankfurt,Germany,1001.0,,,501.0,,1001.0,1001.0,251.0,1001.0,400.0,501.0,1001.0,,251.0,,1001.0,601.0,,251.0,400.0,501.0,400.0,,146.0,
fc koln,Germany,1501.0,,,1001.0,,751.0,1001.0,501.0,1001.0,1500.0,1251.0,1501.0,,751.0,,1501.0,1001.0,,751.0,1500.0,751.0,1500.0,,99.0,
hannover 96,Germany,1501.0,,,751.0,,501.0,501.0,501.0,501.0,600.0,501.0,1001.0,,501.0,,1501.0,601.0,,501.0,600.0,251.0,600.0,,844.0,
hertha berlin,Germany,1001.0,,,751.0,,1001.0,1501.0,501.0,1001.0,1500.0,1001.0,1001.0,,751.0,,1001.0,1001.0,,751.0,1500.0,501.0,1500.0,,844.0,
vfb stuttgart,Germany,751.0,,,751.0,,401.0,1001.0,201.0,301.0,2000.0,1501.0,1001.0,,751.0,,1001.0,601.0,,751.0,2000.0,501.0,2000.0,,844.0,
augsburg,Germany,751.0,,,401.0,,501.0,2001.0,501.0,1001.0,1000.0,751.0,1001.0,,751.0,,1001.0,601.0,,751.0,1000.0,501.0,1000.0,,99.0,
freiburg,Germany,2001.0,,,1001.0,,1501.0,2001.0,501.0,1501.0,2500.0,1501.0,1501.0,,1501.0,,2001.0,1501.0,,1501.0,2500.0,1001.0,2500.0,,99.0,
werder bremen,Germany,2001.0,,,1001.0,,1001.0,2001.0,376.0,1001.0,2500.0,1251.0,1501.0,,1001.0,,2001.0,1251.0,,1001.0,2500.0,1001.0,2500.0,,99.0,
paderborn,Germany,1501.0,,,1001.0,,1001.0,2501.0,501.0,1001.0,2500.0,751.0,1501.0,,751.0,,2001.0,1251.0,,751.0,2500.0,1001.0,2500.0,,99.0,
hamburg,Germany,401.0,,,501.0,,501.0,2501.0,301.0,501.0,2000.0,1001.0,1001.0,,501.0,,1001.0,501.0,,501.0,2000.0,501.0,2000.0,,844.0,
barcelona,Spain,1.83,1.83,,1.83,,1.83,1.91,1.83,1.91,1.85,1.67,1.83,1.83,1.85,,1.83,1.85,1.85,1.85,1.85,1.9,1.85,1.88,1.86,
real madrid,Spain,2.1,2.1,,2.1,,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.14,
atletico madrid,Spain,26.0,15.0,,17.0,,15.0,15.0,15.0,17.0,26.0,23.0,17.0,15.0,15.0,,15.0,15.0,20.0,15.0,26.0,17.0,26.0,30.0,29.0,
valencia,Spain,41.0,41.0,,51.0,,51.0,67.0,51.0,51.0,41.0,67.0,51.0,51.0,51.0,,51.0,51.0,50.0,51.0,41.0,51.0,41.0,52.0,39.0,
seville,Spain,201.0,251.0,,201.0,,201.0,251.0,201.0,201.0,201.0,501.0,251.0,201.0,251.0,,201.0,201.0,151.0,251.0,201.0,201.0,201.0,513.0,437.0,
villarreal,Spain,251.0,301.0,,301.0,,251.0,301.0,376.0,301.0,301.0,501.0,,301.0,301.0,,301.0,301.0,251.0,301.0,301.0,251.0,301.0,950.0,844.0,
athletic bilbao,Spain,1001.0,251.0,,251.0,,251.0,251.0,201.0,201.0,751.0,1501.0,,251.0,351.0,,301.0,301.0,451.0,351.0,751.0,751.0,751.0,950.0,844.0,
celta vigo,Spain,1001.0,751.0,,751.0,,1001.0,1001.0,1001.0,1001.0,1001.0,1501.0,,751.0,751.0,,,1001.0,951.0,751.0,1001.0,1001.0,1001.0,950.0,844.0,
real sociedad,Spain,751.0,501.0,,501.0,,251.0,501.0,201.0,501.0,1001.0,2001.0,,501.0,501.0,,751.0,501.0,451.0,501.0,1001.0,751.0,1001.0,950.0,844.0,
espanyol,Spain,1501.0,1501.0,,1501.0,,2001.0,1501.0,1001.0,2001.0,1501.0,2501.0,,1001.0,1501.0,,,1751.0,1001.0,1501.0,1501.0,2501.0,1501.0,950.0,844.0,
malaga,Spain,1501.0,1501.0,,1501.0,,1501.0,1001.0,1001.0,1501.0,1501.0,2501.0,,1001.0,1001.0,,,1251.0,1001.0,1001.0,1501.0,1501.0,1501.0,950.0,844.0,
eibar,Spain,5001.0,2001.0,,3001.0,,2001.0,4001.0,1001.0,5001.0,4001.0,5001.0,,3001.0,2501.0,,,3001.0,1001.0,2501.0,4001.0,3001.0,4001.0,950.0,844.0,
granada,Spain,2001.0,1501.0,,1501.0,,1501.0,1501.0,1001.0,2001.0,2001.0,5001.0,,1001.0,2501.0,,,1501.0,1001.0,2501.0,2001.0,1501.0,2001.0,950.0,844.0,
rayo vallecano,Spain,3001.0,1501.0,,3001.0,,1501.0,2001.0,1001.0,2001.0,3001.0,5001.0,,1001.0,2001.0,,,2001.0,1001.0,2001.0,3001.0,2001.0,3001.0,950.0,844.0,
almeria,Spain,5001.0,3001.0,,2501.0,,3001.0,3001.0,1001.0,2001.0,4001.0,7501.0,,1001.0,2501.0,,,3001.0,1001.0,2501.0,4001.0,3001.0,4001.0,950.0,844.0,
deportivo la coruna,Spain,7501.0,2001.0,,2001.0,,2001.0,5001.0,1001.0,2001.0,4001.0,8001.0,,2501.0,2501.0,,,2501.0,1001.0,2501.0,4001.0,2501.0,4001.0,950.0,844.0,
elche,Spain,5001.0,2501.0,,2001.0,,2501.0,5001.0,1001.0,2501.0,4001.0,8001.0,,1001.0,2501.0,,,3001.0,1001.0,2501.0,4001.0,5001.0,4001.0,950.0,844.0,
getafe,Spain,1501.0,2501.0,,1001.0,,2501.0,2501.0,1001.0,2001.0,4001.0,8001.0,,1001.0,2501.0,,,2501.0,1001.0,2501.0,4001.0,2501.0,4001.0,950.0,844.0,
levante,Spain,5001.0,2001.0,,3001.0,,2001.0,2001.0,1001.0,5001.0,5001.0,8001.0,,1001.0,2501.0,,,2501.0,1001.0,2501.0,5001.0,2501.0,5001.0,950.0,844.0,
cordoba,Spain,7501.0,3001.0,,5001.0,,,5001.0,1001.0,5001.0,5001.0,9001.0,,2501.0,5001.0,,,2501.0,1001.0,5001.0,5001.0,5001.0,5001.0,950.0,844.0,
chelsea,England,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.53,1.5,1.5,1.5,1.5,1.5,1.5,1.44,1.5,1.5,1.5,1.5,1.5,1.53,1.5,1.54,1.54,1.56
man city,England,3.75,3.75,3.5,3.6,3.5,3.75,3.5,3.75,3.5,3.75,3.3,3.5,3.75,3.75,3.8,3.75,3.5,3.7,3.75,3.75,3.75,3.75,3.85,3.91,3.93
man utd,England,15.0,15.0,15.0,15.0,15.0,13.0,17.0,15.0,15.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,15.0,14.5,15.0,15.0,15.0,15.0,16.7,17.0,16.8
arsenal,England,21.0,21.0,21.0,21.0,21.0,19.0,17.0,21.0,19.0,21.0,21.0,21.0,17.0,17.0,21.0,21.0,17.0,20.0,17.0,21.0,21.0,21.0,25.0,25.0,26.0
liverpool,England,34.0,34.0,34.0,34.0,34.0,34.0,34.0,41.0,34.0,41.0,41.0,34.0,26.0,34.0,41.0,34.0,34.0,36.0,34.0,41.0,34.0,41.0,48.0,49.0,46.0
tottenham,England,151.0,151.0,101.0,101.0,101.0,151.0,101.0,151.0,151.0,151.0,151.0,151.0,67.0,126.0,151.0,126.0,101.0,145.0,126.0,151.0,151.0,151.0,181.0,194.0,150.0
everton,England,301.0,301.0,401.0,301.0,401.0,501.0,401.0,401.0,301.0,301.0,501.0,401.0,501.0,401.0,401.0,501.0,251.0,351.0,401.0,301.0,401.0,301.0,599.0,567.0,80.0
southampton,England,501.0,751.0,751.0,751.0,751.0,1001.0,1001.0,501.0,751.0,501.0,1001.0,501.0,1001.0,1001.0,501.0,751.0,501.0,551.0,1001.0,501.0,501.0,501.0,808.0,815.0,80.0
