name,country,Bet 365,Sky Bet,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
hannover,Germany,,501.0,501.0,,501.0,751.0,,,,,1001.0,,,,,651.0,,,,,,95.0,87.0,
hannover 96,Germany,501.0,,,501.0,,,,501.0,801.0,751.0,,751.0,501.0,751.0,1001.0,,501.0,801.0,1001.0,801.0,601.0,,,
hertha berlin,Germany,1001.0,751.0,751.0,751.0,501.0,1001.0,,751.0,801.0,751.0,1001.0,751.0,751.0,751.0,1001.0,751.0,751.0,801.0,751.0,801.0,1001.0,95.0,87.0,
werder bremen,Germany,501.0,301.0,501.0,251.0,301.0,1001.0,,301.0,501.0,501.0,1001.0,751.0,251.0,751.0,501.0,501.0,251.0,501.0,501.0,501.0,601.0,95.0,87.0,
ingolstadt,Germany,1501.0,1501.0,1001.0,1001.0,751.0,2001.0,,1001.0,2001.0,1001.0,2501.0,2501.0,751.0,2001.0,1001.0,1001.0,751.0,2001.0,1001.0,2001.0,1501.0,95.0,87.0,
darmstadt,Germany,5001.0,1501.0,1501.0,2501.0,1001.0,5001.0,,2501.0,3001.0,2001.0,5001.0,2501.0,1501.0,2501.0,2501.0,1001.0,1501.0,3001.0,2001.0,3001.0,5001.0,105.0,97.0,
barcelona,Spain,1.73,1.73,1.73,1.73,1.75,1.62,1.67,1.62,1.65,1.62,1.62,1.67,1.73,1.61,1.73,1.63,1.73,1.65,1.73,1.65,1.71,1.67,1.64,
real madrid,Spain,2.63,2.62,2.5,2.63,2.5,2.62,2.5,2.5,2.7,2.5,2.62,2.5,2.5,2.5,2.5,2.4,2.5,2.7,2.7,2.7,2.6,2.67,2.69,
atletico madrid,Spain,15.0,15.0,21.0,23.0,15.0,21.0,15.0,15.0,16.0,21.0,17.0,21.0,17.0,17.0,15.0,16.0,17.0,16.0,19.0,16.0,15.0,24.0,21.0,
seville,Spain,41.0,51.0,51.0,67.0,41.0,51.0,51.0,41.0,51.0,67.0,67.0,67.0,51.0,51.0,41.0,48.0,51.0,51.0,67.0,51.0,41.0,76.0,72.0,
valencia,Spain,41.0,34.0,51.0,67.0,34.0,51.0,34.0,41.0,51.0,67.0,67.0,67.0,41.0,51.0,34.0,46.0,41.0,51.0,67.0,51.0,41.0,76.0,72.0,
villarreal,Spain,101.0,101.0,251.0,301.0,101.0,251.0,226.0,101.0,251.0,301.0,201.0,301.0,151.0,251.0,251.0,200.0,151.0,251.0,201.0,251.0,101.0,190.0,247.0,
athletic bilbao,Spain,201.0,101.0,301.0,401.0,201.0,251.0,301.0,201.0,251.0,501.0,501.0,501.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,201.0,285.0,330.0,
celta vigo,Spain,1001.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,1001.0,1001.0,501.0,1001.0,501.0,751.0,501.0,651.0,501.0,1001.0,1001.0,1001.0,,475.0,844.0,
malaga,Spain,1001.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,1001.0,1001.0,1001.0,1001.0,501.0,751.0,501.0,651.0,501.0,1001.0,751.0,1001.0,501.0,475.0,844.0,
real sociedad,Spain,1001.0,501.0,751.0,501.0,501.0,1001.0,501.0,501.0,1001.0,1001.0,1001.0,1001.0,751.0,751.0,501.0,751.0,751.0,1001.0,751.0,1001.0,,475.0,844.0,
espanyol,Spain,1001.0,1001.0,1001.0,751.0,751.0,1001.0,501.0,751.0,1501.0,1501.0,1001.0,1001.0,751.0,1001.0,751.0,951.0,751.0,1501.0,1001.0,1501.0,1001.0,475.0,844.0,
betis,Spain,5001.0,1001.0,1501.0,1501.0,1001.0,5001.0,501.0,1001.0,5001.0,5001.0,1001.0,2501.0,1501.0,1501.0,1501.0,1001.0,1501.0,5001.0,1501.0,5001.0,,475.0,844.0,
rayo vallecano,Spain,1001.0,1001.0,2001.0,2001.0,1501.0,2501.0,501.0,1001.0,5001.0,5001.0,1001.0,2501.0,2001.0,2501.0,2001.0,1001.0,2001.0,5001.0,2501.0,5001.0,,475.0,844.0,
deportivo la coruna,Spain,10001.0,1501.0,2501.0,1501.0,1001.0,5001.0,501.0,1001.0,5001.0,10001.0,2001.0,2501.0,2501.0,2501.0,1501.0,1001.0,2501.0,5001.0,2501.0,5001.0,,475.0,844.0,
eibar,Spain,10001.0,5001.0,2501.0,2501.0,5001.0,5001.0,501.0,2501.0,7501.0,10001.0,5001.0,5001.0,5001.0,5001.0,2001.0,1001.0,5001.0,7501.0,2501.0,7501.0,,475.0,844.0,
getafe,Spain,10001.0,5001.0,2501.0,1501.0,2001.0,5001.0,501.0,2501.0,5001.0,10001.0,2001.0,5001.0,5001.0,5001.0,2501.0,1001.0,5001.0,5001.0,2501.0,5001.0,,475.0,844.0,
gijon,Spain,10001.0,5001.0,2501.0,2501.0,2501.0,5001.0,501.0,2501.0,7501.0,10001.0,2001.0,5001.0,5001.0,5001.0,5001.0,1001.0,5001.0,7501.0,2501.0,7501.0,,475.0,844.0,
granada,Spain,10001.0,5001.0,2501.0,2001.0,2001.0,5001.0,501.0,2001.0,5001.0,10001.0,2001.0,5001.0,5001.0,5001.0,2501.0,1001.0,5001.0,5001.0,2501.0,5001.0,,475.0,844.0,
levante,Spain,10001.0,5001.0,2501.0,2501.0,2001.0,2501.0,501.0,2501.0,5001.0,10001.0,5001.0,5001.0,5001.0,5001.0,2501.0,1001.0,5001.0,5001.0,2501.0,5001.0,,475.0,844.0,
ud las palmas,Spain,10001.0,5001.0,2501.0,2501.0,5001.0,5001.0,501.0,2501.0,5001.0,10001.0,2001.0,5001.0,5001.0,1001.0,5001.0,1001.0,5001.0,5001.0,2501.0,5001.0,,475.0,844.0,
chelsea,England,2.5,2.62,2.4,2.38,2.55,2.5,2.62,2.62,2.5,2.5,2.75,2.62,2.5,2.5,2.5,2.5,2.5,2.5,2.55,2.5,2.35,2.73,2.75,2.8
man city,England,3.75,3.5,3.75,4.0,3.8,3.75,4.0,3.75,3.75,3.5,3.4,4.0,3.75,3.75,4.0,3.75,3.75,3.75,3.75,3.75,3.9,3.94,4.01,4.07
arsenal,England,4.5,5.0,5.0,5.0,4.75,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,5.0,5.0,4.9,4.5,4.5,5.0,4.5,4.4,4.71,4.98,4.91
man utd,England,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.2,6.13,6.04,6.35
liverpool,England,29.0,29.0,26.0,26.0,21.0,21.0,26.0,26.0,21.0,29.0,23.0,29.0,26.0,26.0,26.0,25.0,26.0,21.0,29.0,21.0,28.0,29.0,29.0,30.0
tottenham,England,101.0,101.0,101.0,101.0,67.0,101.0,91.0,101.0,126.0,151.0,101.0,151.0,101.0,101.0,126.0,105.0,101.0,126.0,101.0,126.0,111.0,143.0,155.0,100.0
southampton,England,251.0,201.0,251.0,201.0,201.0,251.0,201.0,201.0,251.0,301.0,251.0,301.0,251.0,251.0,301.0,221.0,251.0,251.0,251.0,251.0,276.0,485.0,456.0,496.0
everton,England,251.0,251.0,251.0,251.0,251.0,251.0,201.0,251.0,301.0,301.0,251.0,301.0,251.0,251.0,301.0,251.0,251.0,301.0,251.0,301.0,276.0,494.0,470.0,496.0
crystal palace,England,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,1001.0,1001.0,2501.0,3001.0,2001.0,3001.0,2001.0,1501.0,2501.0,1001.0,2001.0,2501.0,2001.0,2501.0,2501.0,950.0,970.0,496.0
stoke,England,1001.0,1501.0,1501.0,1001.0,1001.0,2001.0,501.0,1001.0,1501.0,3001.0,1501.0,3001.0,1501.0,1001.0,1501.0,1001.0,1501.0,1501.0,1501.0,1501.0,1251.0,950.0,970.0,496.0
swansea,England,1501.0,1501.0,1501.0,1001.0,1501.0,2001.0,501.0,1001.0,1501.0,3001.0,1501.0,3001.0,1501.0,1001.0,1501.0,1001.0,1501.0,1501.0,1501.0,1501.0,1501.0,950.0,970.0,496.0
west ham,England,1501.0,2501.0,1501.0,1001.0,1001.0,2001.0,501.0,1001.0,1501.0,3001.0,2001.0,3001.0,2001.0,1001.0,1501.0,1001.0,2001.0,1501.0,1001.0,1501.0,1501.0,950.0,970.0,496.0
aston villa,England,2501.0,5001.0,2001.0,1501.0,2001.0,3001.0,1001.0,1001.0,2501.0,5001.0,2001.0,5001.0,2001.0,2001.0,1501.0,1001.0,2001.0,2501.0,2501.0,2501.0,3001.0,950.0,970.0,496.0
leicester,England,2001.0,5001.0,2501.0,2001.0,2001.0,3001.0,1001.0,1001.0,2501.0,5001.0,2001.0,5001.0,2501.0,2501.0,2501.0,1001.0,2501.0,2501.0,2501.0,2501.0,3001.0,950.0,970.0,496.0
newcastle,England,2501.0,5001.0,2001.0,1001.0,1501.0,2501.0,501.0,1001.0,2501.0,3001.0,1501.0,3001.0,2001.0,1501.0,1001.0,1001.0,2001.0,2501.0,2001.0,2501.0,3001.0,950.0,970.0,496.0
sunderland,England,3001.0,5001.0,2501.0,2001.0,2001.0,3001.0,1001.0,1001.0,3001.0,5001.0,2001.0,5001.0,2501.0,2501.0,2501.0,1001.0,2501.0,3001.0,2001.0,3001.0,3001.0,950.0,970.0,496.0
west brom,England,2001.0,5001.0,2001.0,2001.0,2001.0,2501.0,1001.0,1001.0,2001.0,5001.0,2001.0,5001.0,2501.0,2001.0,2001.0,1001.0,2501.0,2001.0,2001.0,2001.0,2501.0,950.0,970.0,496.0
bournemouth,England,5001.0,5001.0,3001.0,2501.0,5001.0,5001.0,2001.0,1001.0,5001.0,7501.0,2501.0,7501.0,5001.0,2501.0,5001.0,1001.0,5001.0,5001.0,5001.0,5001.0,5001.0,950.0,970.0,496.0
norwich,England,5001.0,5001.0,5001.0,2001.0,5001.0,4001.0,2001.0,1001.0,5001.0,7501.0,2501.0,7501.0,5001.0,2501.0,5001.0,1001.0,5001.0,5001.0,5001.0,5001.0,5001.0,950.0,970.0,496.0
watford,England,7501.0,5001.0,5001.0,5001.0,5001.0,5001.0,2001.0,1001.0,5001.0,10001.0,5001.0,10001.0,5001.0,2501.0,5001.0,1001.0,5001.0,5001.0,5001.0,5001.0,7501.0,950.0,970.0,496.0
psg,France,1.14,1.14,1.14,1.14,1.15,1.12,1.14,1.14,1.16,1.14,1.17,,1.14,1.14,1.14,1.12,1.14,1.16,1.14,1.16,1.13,1.19,1.14,
lyon,France,11.0,13.0,11.0,15.0,12.0,13.0,11.0,11.0,11.0,13.0,11.0,,13.0,10.0,13.0,10.0,13.0,11.0,13.0,11.0,11.0,12.4,11.2,
monaco,France,17.0,11.0,11.0,12.0,10.0,13.0,13.0,11.0,8.0,11.0,11.0,,11.0,15.0,12.0,10.3,11.0,8.0,12.0,8.0,17.0,12.4,10.2,
marseille,France,21.0,21.0,21.0,23.0,21.0,21.0,21.0,21.0,22.0,23.0,21.0,,21.0,21.0,21.0,17.5,21.0,22.0,21.0,22.0,21.0,20.0,18.5,
st etienne,France,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,51.0,101.0,101.0,101.0,82.0,101.0,101.0,101.0,101.0,101.0,81.0,87.0,
bordeaux,France,151.0,101.0,101.0,101.0,101.0,151.0,101.0,101.0,151.0,151.0,51.0,,101.0,101.0,151.0,115.0,101.0,151.0,151.0,151.0,151.0,81.0,132.0,
lille,France,201.0,201.0,201.0,201.0,201.0,251.0,151.0,201.0,251.0,251.0,151.0,,151.0,151.0,201.0,185.0,151.0,251.0,251.0,251.0,201.0,95.0,204.0,
montpellier,France,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,201.0,,151.0,151.0,251.0,201.0,151.0,251.0,251.0,251.0,251.0,95.0,204.0,
rennes,France,301.0,401.0,401.0,401.0,301.0,501.0,401.0,401.0,501.0,501.0,501.0,,251.0,501.0,501.0,301.0,251.0,501.0,401.0,501.0,351.0,95.0,87.0,
lorient,France,751.0,751.0,501.0,501.0,501.0,751.0,501.0,501.0,776.0,751.0,501.0,,501.0,501.0,751.0,551.0,501.0,776.0,751.0,776.0,751.0,95.0,87.0,
nantes,France,501.0,501.0,501.0,501.0,501.0,751.0,501.0,501.0,801.0,751.0,501.0,,501.0,501.0,501.0,501.0,501.0,801.0,501.0,801.0,601.0,95.0,87.0,
nice,France,501.0,501.0,501.0,501.0,501.0,751.0,501.0,501.0,801.0,751.0,501.0,,501.0,501.0,501.0,501.0,501.0,801.0,501.0,801.0,451.0,95.0,87.0,
guingamp,France,1001.0,1001.0,751.0,501.0,751.0,1001.0,501.0,751.0,1051.0,1001.0,501.0,,751.0,1001.0,1001.0,701.0,751.0,1051.0,1001.0,1051.0,1001.0,95.0,87.0,
toulouse,France,751.0,751.0,751.0,751.0,751.0,1001.0,501.0,751.0,1051.0,1001.0,501.0,,501.0,751.0,1001.0,651.0,501.0,1051.0,1001.0,1051.0,751.0,95.0,87.0,
caen,France,1001.0,1001.0,751.0,751.0,1001.0,1001.0,501.0,1001.0,1301.0,1001.0,751.0,,751.0,1001.0,1251.0,801.0,751.0,1301.0,1001.0,1301.0,1251.0,95.0,87.0,
reims,France,1001.0,1001.0,1001.0,1001.0,751.0,1001.0,751.0,1001.0,1501.0,1001.0,1001.0,,751.0,1001.0,501.0,851.0,751.0,1501.0,1001.0,1501.0,1001.0,95.0,87.0,
troyes,France,1001.0,1001.0,1001.0,1001.0,1001.0,1501.0,751.0,1001.0,1601.0,1501.0,1501.0,,1001.0,1501.0,1001.0,1000.0,1001.0,1601.0,1001.0,1601.0,1251.0,95.0,87.0,
ajaccio,France,,1001.0,,,,,,,,,,,,,,,,,,,1751.0,,87.0,
bastia,France,1001.0,1001.0,751.0,751.0,751.0,1001.0,501.0,1001.0,2001.0,1001.0,501.0,,751.0,1001.0,1001.0,901.0,751.0,2001.0,1001.0,2001.0,1001.0,95.0,87.0,
angers,France,1001.0,1001.0,1001.0,1001.0,1001.0,2501.0,1001.0,2501.0,,2501.0,1501.0,,1001.0,2001.0,2501.0,1001.0,1001.0,,1501.0,,,95.0,87.0,
gfco ajaccio,France,1501.0,,1001.0,1001.0,1501.0,2001.0,1001.0,2501.0,2751.0,1001.0,1501.0,,1501.0,1001.0,1501.0,1001.0,1501.0,2751.0,2001.0,2751.0,,95.0,,
juventus,Italy,1.62,1.62,1.57,1.53,1.55,1.44,1.57,1.5,1.5,1.57,1.57,1.57,1.55,1.57,1.57,1.53,1.55,1.5,1.55,1.5,1.61,1.66,1.62,
roma,Italy,8.0,7.5,7.5,8.0,8.0,7.0,7.5,7.0,8.0,8.0,8.0,8.0,7.5,7.0,7.0,7.5,7.5,8.0,7.5,8.0,7.5,7.27,6.82,
napoli,Italy,10.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,9.5,9.0,7.5,9.5,9.5,10.0,10.0,10.0,10.0,9.55,9.15,
inter,Italy,13.0,11.0,15.0,13.0,15.0,13.0,11.0,10.0,10.0,13.0,17.0,10.0,15.0,13.0,13.0,12.3,15.0,10.0,13.0,10.0,12.5,12.4,11.2,
ac milan,Italy,11.0,11.0,12.0,15.0,11.0,13.0,13.0,15.0,15.0,13.0,17.0,11.0,12.0,13.0,13.0,13.0,12.0,15.0,15.0,15.0,11.0,15.3,14.1,
lazio,Italy,17.0,15.0,17.0,21.0,15.0,17.0,15.0,21.0,21.0,17.0,13.0,13.0,17.0,17.0,15.0,17.5,17.0,21.0,17.0,21.0,17.0,26.0,23.0,
fiorentina,Italy,41.0,29.0,29.0,41.0,29.0,34.0,15.0,41.0,41.0,34.0,21.0,34.0,34.0,41.0,26.0,35.0,34.0,41.0,41.0,41.0,41.0,44.0,45.0,
genoa,Italy,251.0,201.0,251.0,251.0,201.0,501.0,151.0,501.0,501.0,301.0,501.0,501.0,251.0,251.0,251.0,301.0,251.0,501.0,251.0,501.0,251.0,95.0,247.0,
sampdoria,Italy,201.0,201.0,251.0,251.0,151.0,501.0,101.0,501.0,501.0,301.0,501.0,501.0,251.0,301.0,251.0,301.0,251.0,501.0,251.0,501.0,201.0,95.0,247.0,
torino,Italy,501.0,201.0,501.0,501.0,351.0,501.0,101.0,501.0,501.0,301.0,251.0,501.0,501.0,251.0,501.0,401.0,501.0,501.0,501.0,501.0,501.0,95.0,247.0,
udinese,Italy,351.0,201.0,301.0,501.0,351.0,501.0,151.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,251.0,351.0,501.0,501.0,351.0,501.0,351.0,95.0,286.0,
empoli,Italy,1001.0,501.0,1001.0,1001.0,1001.0,1001.0,501.0,1001.0,1501.0,751.0,1001.0,1001.0,1001.0,1501.0,1501.0,1000.0,1001.0,1501.0,1001.0,1501.0,1001.0,95.0,417.0,
palermo,Italy,501.0,501.0,501.0,501.0,501.0,501.0,401.0,1501.0,1501.0,751.0,501.0,751.0,501.0,501.0,501.0,701.0,501.0,1501.0,1001.0,1501.0,501.0,95.0,417.0,
atalanta,Italy,1001.0,501.0,1001.0,1001.0,751.0,1001.0,501.0,2001.0,2001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,2001.0,1501.0,2001.0,1006.0,95.0,417.0,
bologna,Italy,1501.0,2001.0,1501.0,2001.0,1501.0,2001.0,501.0,2001.0,1501.0,1501.0,2001.0,2001.0,2001.0,1001.0,2001.0,1001.0,2001.0,1501.0,2001.0,1501.0,1701.0,95.0,417.0,
sassuolo,Italy,751.0,751.0,1001.0,1001.0,751.0,1001.0,501.0,2001.0,2001.0,1001.0,2001.0,751.0,1001.0,1001.0,1001.0,1001.0,1001.0,2001.0,1501.0,2001.0,751.0,95.0,417.0,
verona,Italy,1001.0,751.0,1001.0,1001.0,1001.0,1001.0,401.0,2001.0,2001.0,1001.0,1001.0,751.0,751.0,501.0,751.0,851.0,751.0,2001.0,1001.0,2001.0,1001.0,95.0,417.0,
chievo,Italy,2001.0,1501.0,2001.0,2001.0,2001.0,2501.0,501.0,2501.0,2001.0,1001.0,2001.0,2501.0,2001.0,1001.0,2001.0,1001.0,2001.0,2001.0,1001.0,2001.0,2101.0,95.0,417.0,
frosinone,Italy,5001.0,2001.0,2501.0,5001.0,5001.0,5001.0,501.0,5001.0,5001.0,2001.0,2001.0,5001.0,5001.0,5001.0,5001.0,1001.0,5001.0,5001.0,5001.0,5001.0,5001.0,95.0,500.0,
carpi fc,Italy,5001.0,2001.0,2501.0,5001.0,5001.0,5001.0,501.0,5001.0,5001.0,2001.0,2001.0,5001.0,5001.0,2501.0,5001.0,1001.0,5001.0,5001.0,5001.0,5001.0,5001.0,143.0,417.0,
celtic,Scotland,1.03,1.02,1.03,1.03,1.03,1.02,1.03,1.02,1.02,1.04,1.04,1.04,1.03,1.03,1.03,1.02,1.03,1.02,1.02,1.02,1.02,1.06,1.02,
aberdeen,Scotland,21.0,21.0,21.0,21.0,21.0,17.0,21.0,21.0,26.0,26.0,21.0,21.0,21.0,21.0,21.0,19.0,21.0,26.0,21.0,26.0,26.0,24.0,18.9,
hearts,Scotland,34.0,51.0,51.0,51.0,51.0,41.0,41.0,51.0,51.0,51.0,34.0,41.0,41.0,41.0,51.0,39.0,41.0,51.0,41.0,51.0,51.0,34.0,32.0,
dundee utd,Scotland,201.0,151.0,201.0,201.0,151.0,101.0,151.0,151.0,101.0,401.0,301.0,201.0,151.0,151.0,201.0,150.0,151.0,101.0,201.0,101.0,101.0,95.0,91.0,
inverness,Scotland,201.0,151.0,201.0,201.0,101.0,151.0,251.0,151.0,151.0,401.0,401.0,201.0,201.0,251.0,201.0,185.0,201.0,151.0,201.0,151.0,151.0,95.0,122.0,
st johnstone,Scotland,301.0,251.0,251.0,251.0,151.0,201.0,251.0,251.0,251.0,401.0,401.0,251.0,251.0,251.0,251.0,221.0,251.0,251.0,251.0,251.0,276.0,95.0,122.0,
dundee,Scotland,201.0,251.0,251.0,251.0,501.0,151.0,201.0,251.0,751.0,501.0,401.0,301.0,151.0,251.0,501.0,351.0,151.0,751.0,201.0,751.0,751.0,95.0,122.0,
motherwell,Scotland,201.0,1001.0,401.0,501.0,751.0,251.0,201.0,501.0,1001.0,1001.0,751.0,751.0,501.0,251.0,501.0,501.0,501.0,1001.0,251.0,1001.0,1001.0,95.0,122.0,
partick,Scotland,751.0,751.0,501.0,501.0,751.0,1001.0,501.0,501.0,751.0,1001.0,751.0,751.0,751.0,751.0,751.0,601.0,751.0,751.0,751.0,751.0,751.0,95.0,122.0,
hamilton,Scotland,1001.0,1001.0,751.0,751.0,1001.0,2001.0,501.0,501.0,501.0,2001.0,1001.0,1001.0,1001.0,1001.0,501.0,651.0,1001.0,501.0,1001.0,501.0,501.0,95.0,122.0,
kilmarnock,Scotland,2001.0,2001.0,1001.0,1001.0,1001.0,1501.0,501.0,501.0,1001.0,2001.0,1501.0,1001.0,1001.0,1001.0,1001.0,901.0,1001.0,1001.0,1001.0,1001.0,1001.0,95.0,122.0,
ross county,Scotland,1501.0,2001.0,1001.0,1001.0,1001.0,501.0,501.0,501.0,1001.0,2001.0,751.0,1001.0,751.0,1001.0,1001.0,751.0,751.0,1001.0,1001.0,1001.0,1001.0,95.0,122.0,
psv,Holland,2.38,2.25,2.38,2.25,2.3,,2.2,2.25,2.2,2.38,2.5,,,2.25,2.25,2.25,,2.2,2.2,2.2,2.3,2.14,,
ajax,Holland,2.5,2.62,2.4,2.63,2.4,,2.62,2.38,2.4,2.62,2.88,,,2.37,2.63,2.4,,2.4,2.25,2.4,2.45,2.33,,
feyenoord,Holland,7.5,6.0,6.0,6.0,6.0,,5.5,5.75,6.0,6.0,4.0,,,6.0,6.0,6.2,,6.0,6.5,6.0,2.0,5.75,,
vitesse,Holland,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,26.0,26.0,26.0,,,34.0,26.0,26.0,,26.0,34.0,26.0,3.25,25.0,,
az alkmaar,Holland,21.0,34.0,34.0,41.0,23.0,,21.0,29.0,51.0,26.0,26.0,,,34.0,26.0,34.0,,51.0,41.0,51.0,4.25,40.0,,
twente,Holland,51.0,51.0,51.0,51.0,51.0,,34.0,51.0,51.0,41.0,51.0,,,51.0,51.0,47.0,,51.0,41.0,51.0,8.75,42.0,,
heerenveen,Holland,101.0,101.0,101.0,101.0,101.0,,101.0,101.0,71.0,81.0,67.0,,,51.0,101.0,88.0,,71.0,67.0,71.0,11.5,62.0,,
groningen,Holland,151.0,201.0,201.0,201.0,151.0,,201.0,201.0,201.0,151.0,151.0,,,151.0,151.0,170.0,,201.0,151.0,201.0,36.0,143.0,,
zwolle,Holland,151.0,201.0,201.0,201.0,151.0,,201.0,201.0,201.0,151.0,151.0,,,201.0,151.0,170.0,,201.0,151.0,201.0,41.0,143.0,,
utrecht,Holland,101.0,251.0,251.0,251.0,201.0,,201.0,251.0,251.0,251.0,251.0,,,251.0,201.0,201.0,,251.0,201.0,251.0,51.0,105.0,,
willem ii,Holland,251.0,501.0,501.0,501.0,501.0,,501.0,501.0,501.0,501.0,251.0,,,501.0,501.0,351.0,,501.0,301.0,501.0,106.0,190.0,,
nec nijmegen,Holland,501.0,501.0,501.0,501.0,501.0,,501.0,501.0,751.0,501.0,501.0,,,501.0,501.0,451.0,,751.0,201.0,751.0,306.0,190.0,,
cambuur,Holland,1001.0,1001.0,1001.0,1001.0,1001.0,,501.0,1001.0,501.0,1001.0,501.0,,,501.0,1001.0,701.0,,501.0,301.0,501.0,106.0,190.0,,
den haag,Holland,1001.0,1001.0,1001.0,1001.0,1001.0,,501.0,1001.0,751.0,1001.0,501.0,,,751.0,1001.0,801.0,,751.0,501.0,751.0,156.0,190.0,,
heracles,Holland,1001.0,1001.0,1001.0,1001.0,1001.0,,501.0,1001.0,751.0,751.0,501.0,,,751.0,1001.0,801.0,,751.0,501.0,751.0,301.0,190.0,,
roda,Holland,1001.0,1001.0,1001.0,1001.0,1001.0,,501.0,1001.0,801.0,751.0,1001.0,,,751.0,1001.0,801.0,,801.0,501.0,801.0,311.0,190.0,,
sbv excelsior,Holland,1001.0,1001.0,1001.0,1001.0,1001.0,,501.0,1001.0,901.0,1001.0,1001.0,,,1001.0,1001.0,851.0,,901.0,501.0,901.0,511.0,190.0,,
de graafschap,Holland,1501.0,1001.0,1001.0,1001.0,1001.0,,501.0,1001.0,901.0,1001.0,1001.0,,,751.0,1001.0,901.0,,901.0,501.0,901.0,511.0,190.0,,
porto,Portugal,2.1,2.1,2.2,2.0,2.2,2.1,2.1,2.1,2.15,2.1,2.1,2.1,2.1,2.1,2.1,2.05,2.1,2.15,2.2,2.15,2.0,1.99,,
