name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.3,1.3,1.29,1.3,1.29,1.3,1.25,1.33,1.25,1.33,1.29,,1.29,1.28,1.29,1.3,1.33,1.26,1.25,,1.28,1.36,1.32,
Bor Dortmund,Germany,4.0,3.75,3.75,3.75,3.75,4.0,4.33,3.75,4.0,3.75,4.0,,4.0,3.5,4.0,3.5,3.75,3.7,3.0,,3.75,3.94,3.71,
Bayer Leverkusen,Germany,34.0,29.0,23.0,26.0,23.0,29.0,26.0,26.0,34.0,30.0,26.0,,26.0,26.0,34.0,26.0,30.0,29.0,34.0,,38.0,52.0,44.0,
Schalke 04,Germany,81.0,67.0,51.0,51.0,51.0,67.0,81.0,51.0,67.0,75.0,67.0,,67.0,67.0,67.0,34.0,75.0,71.0,67.0,,58.0,71.0,65.0,
VfL Wolfsburg,Germany,151.0,151.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,150.0,126.0,,126.0,101.0,151.0,101.0,150.0,121.0,101.0,,124.0,171.0,154.0,
VfB Stuttgart,Germany,201.0,201.0,151.0,151.0,151.0,151.0,151.0,201.0,301.0,200.0,251.0,,201.0,201.0,301.0,151.0,200.0,251.0,301.0,,190.0,257.0,238.0,
Bor Monchengladbach,Germany,501.0,201.0,201.0,201.0,201.0,201.0,151.0,201.0,251.0,150.0,201.0,,201.0,251.0,201.0,151.0,150.0,251.0,251.0,,330.0,475.0,432.0,
Werder Bremen,Germany,301.0,201.0,301.0,201.0,301.0,251.0,201.0,251.0,251.0,300.0,501.0,,501.0,351.0,251.0,251.0,300.0,301.0,251.0,,470.0,665.0,622.0,
Hamburg,Germany,301.0,251.0,401.0,351.0,401.0,201.0,201.0,251.0,251.0,200.0,501.0,,501.0,251.0,301.0,201.0,200.0,301.0,251.0,,615.0,950.0,888.0,
Hannover 96,Germany,301.0,251.0,201.0,301.0,201.0,251.0,251.0,401.0,301.0,150.0,251.0,,251.0,251.0,751.0,101.0,150.0,301.0,301.0,,255.0,361.0,328.0,
Eintracht Frankfurt,Germany,501.0,501.0,251.0,501.0,251.0,501.0,501.0,201.0,401.0,300.0,201.0,,501.0,351.0,751.0,151.0,300.0,501.0,401.0,,525.0,760.0,698.0,
Hoffenheim,Germany,501.0,401.0,201.0,301.0,201.0,351.0,251.0,201.0,501.0,200.0,251.0,,251.0,351.0,751.0,151.0,200.0,501.0,501.0,,615.0,950.0,888.0,
Mainz 05,Germany,501.0,301.0,301.0,301.0,301.0,251.0,301.0,301.0,501.0,200.0,251.0,,501.0,351.0,751.0,151.0,200.0,501.0,501.0,,615.0,950.0,888.0,
Freiburg,Germany,501.0,501.0,501.0,501.0,501.0,501.0,501.0,401.0,501.0,1000.0,751.0,,501.0,501.0,751.0,501.0,1000.0,501.0,501.0,,610.0,950.0,884.0,
Hertha Berlin,Germany,751.0,501.0,401.0,501.0,401.0,401.0,251.0,401.0,1001.0,200.0,351.0,,501.0,501.0,1001.0,251.0,200.0,501.0,1001.0,,400.0,570.0,532.0,
Augsburg,Germany,2001.0,2001.0,1001.0,1501.0,1001.0,1001.0,2501.0,401.0,1501.0,300.0,1501.0,,1001.0,1501.0,2501.0,251.0,300.0,1501.0,1501.0,,615.0,950.0,888.0,
Nurnberg,Germany,3001.0,751.0,751.0,501.0,751.0,501.0,1001.0,501.0,751.0,1000.0,1001.0,,1001.0,751.0,1501.0,501.0,1000.0,1001.0,751.0,,615.0,950.0,888.0,
Braunschweig,Germany,5001.0,3001.0,5001.0,1501.0,5001.0,1501.0,5001.0,501.0,2001.0,3000.0,2501.0,,5001.0,2501.0,5001.0,2001.0,3000.0,3001.0,2001.0,,615.0,950.0,888.0,
Barcelona,Spain,,1.57,,1.62,,,1.53,1.57,1.62,,1.5,,1.57,1.57,,1.57,,,,,1.63,1.69,1.63,
Real Madrid,Spain,,2.38,,2.38,,,2.5,2.4,2.25,,2.62,,2.38,2.4,,2.3,,,,,2.49,2.62,2.53,
Atletico Madrid,Spain,,34.0,,41.0,,,67.0,51.0,41.0,,41.0,,41.0,41.0,,26.0,,,,,24.0,27.0,25.0,
Real Sociedad,Spain,,501.0,,301.0,,,401.0,201.0,201.0,,501.0,,401.0,251.0,,401.0,,,,,148.0,295.0,181.0,
Valencia,Spain,,401.0,,201.0,,,251.0,101.0,101.0,,501.0,,401.0,201.0,,301.0,,,,,174.0,485.0,219.0,
Athl Bilbao,Spain,,501.0,,401.0,,,751.0,401.0,501.0,,501.0,,401.0,501.0,,501.0,,,,,148.0,247.0,181.0,
Betis,Spain,,751.0,,501.0,,,751.0,501.0,501.0,,751.0,,501.0,501.0,,1001.0,,,,,225.0,323.0,295.0,
Sevilla,Spain,,751.0,,301.0,,,751.0,201.0,301.0,,1001.0,,501.0,351.0,,751.0,,,,,360.0,513.0,480.0,
Espanyol,Spain,,,,,,,1501.0,1001.0,1001.0,,1501.0,,751.0,,,1001.0,,,,,154.0,257.0,195.0,
Malaga,Spain,,751.0,,301.0,,,1001.0,326.0,501.0,,2001.0,,751.0,501.0,,501.0,,,,,154.0,760.0,195.0,
Getafe,Spain,,,,,,,2001.0,1001.0,1501.0,,2001.0,,1001.0,,,1251.0,,,,,615.0,950.0,888.0,
Celta Vigo,Spain,,,,,,,2501.0,1501.0,2001.0,,2501.0,,1501.0,,,2001.0,,,,,615.0,950.0,888.0,
Villarreal,Spain,,,,,,,1501.0,,3001.0,,501.0,,501.0,,,1001.0,,,,,114.0,143.0,137.0,
Levante,Spain,,,,,,,2501.0,2001.0,2501.0,,3001.0,,2501.0,,,2001.0,,,,,615.0,950.0,888.0,
Valladolid,Spain,,,,,,,3001.0,2501.0,3001.0,,3001.0,,4001.0,,,2501.0,,,,,615.0,950.0,888.0,
Granada,Spain,,,,,,,5001.0,3001.0,3001.0,,4001.0,,2501.0,,,4001.0,,,,,615.0,950.0,888.0,
Osasuna,Spain,,,,,,,5001.0,2501.0,3001.0,,7501.0,,4001.0,,,2501.0,,,,,615.0,950.0,888.0,
Rayo Vallecano,Spain,,,,,,,5001.0,1001.0,1501.0,,7501.0,,2501.0,,,2001.0,,,,,615.0,950.0,888.0,
Almeria,Spain,,,,,,,7501.0,,,,9001.0,,5001.0,,,5001.0,,,,,615.0,950.0,888.0,
Elche,Spain,,,,,,,7501.0,5001.0,7501.0,,9001.0,,5001.0,,,5001.0,,,,,615.0,950.0,888.0,
Man City,England,3.5,3.4,3.0,3.6,3.0,,3.0,3.5,3.25,3.5,3.0,3.4,3.25,3.0,,3.5,3.5,,,3.5,3.65,3.61,3.61,
Chelsea,England,3.75,3.5,3.5,3.6,3.5,,3.5,3.5,3.5,3.7,3.5,3.5,3.5,3.5,,3.75,3.7,,,3.5,3.8,3.8,3.76,
Man Utd,England,4.5,4.5,4.5,4.5,4.5,,5.0,4.5,4.5,4.75,4.2,4.33,4.5,4.5,,4.5,4.75,,,4.5,4.9,4.89,4.89,
Arsenal,England,8.5,9.0,9.0,8.5,9.0,,10.0,8.5,10.0,8.5,10.0,8.5,9.0,9.0,,8.5,8.5,,,8.5,8.0,8.41,8.03,
Liverpool,England,9.0,10.0,11.0,9.0,11.0,,9.0,11.0,10.0,9.5,11.0,9.0,9.0,10.0,,10.0,9.5,,,9.0,9.2,9.36,9.36,
Tottenham,England,13.0,17.0,15.0,13.0,15.0,,15.0,15.0,13.0,13.0,17.0,15.0,13.0,15.0,,13.0,13.0,,,13.0,13.0,13.4,13.4,
Everton,England,151.0,301.0,401.0,301.0,401.0,,301.0,176.0,251.0,250.0,751.0,251.0,251.0,251.0,,301.0,250.0,,,501.0,240.0,323.0,314.0,
Southampton,England,1501.0,1501.0,2001.0,2001.0,2001.0,,2001.0,2001.0,1501.0,1500.0,2001.0,2001.0,1001.0,2001.0,,2001.0,1500.0,,,2001.0,660.0,950.0,950.0,
Aston Villa,England,2001.0,2001.0,2001.0,1001.0,2001.0,,1501.0,2001.0,1501.0,2000.0,2501.0,2501.0,1501.0,2001.0,,2501.0,2000.0,,,1751.0,660.0,950.0,950.0,
Swansea,England,1501.0,1501.0,1501.0,1501.0,1501.0,,2501.0,1001.0,1001.0,1500.0,2501.0,2501.0,2001.0,2001.0,,2001.0,1500.0,,,2251.0,660.0,950.0,950.0,
Newcastle,England,1001.0,1001.0,2001.0,1001.0,2001.0,,1501.0,1001.0,2001.0,1500.0,3001.0,2501.0,1501.0,1501.0,,2001.0,1500.0,,,2251.0,660.0,950.0,950.0,
West Ham,England,2501.0,2001.0,2001.0,2001.0,2001.0,,2501.0,2001.0,1501.0,2500.0,3001.0,3001.0,2001.0,2001.0,,2501.0,2500.0,,,2501.0,660.0,950.0,950.0,
