name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,1.11,1.11,1.08,1.11,,1.05,1.07,,1.12,1.11,,1.06,,1.06,1.1,1.08,,1.12,1.12,1.12,,,
bor dortmund,Germany,21.0,15.0,15.0,17.0,15.0,,21.0,21.0,,14.0,15.0,,17.0,,17.0,17.0,14.0,,14.0,19.0,14.0,,,
vfl wolfsburg,Germany,17.0,17.0,17.0,17.0,17.0,,21.0,18.0,,18.0,17.0,,21.0,,17.0,17.0,13.3,,18.0,13.0,18.0,,,
bayer leverkusen,Germany,41.0,34.0,34.0,34.0,34.0,,,34.0,,34.0,34.0,,41.0,,41.0,34.0,27.0,,34.0,26.0,34.0,,,
bor monchengladbach,Germany,41.0,34.0,29.0,34.0,29.0,,51.0,41.0,,34.0,34.0,,51.0,,41.0,41.0,29.0,,34.0,26.0,34.0,,,
schalke 04,Germany,51.0,41.0,41.0,41.0,41.0,,51.0,41.0,,41.0,51.0,,51.0,,41.0,41.0,35.0,,41.0,51.0,41.0,,,
eintracht frankfurt,Germany,501.0,501.0,401.0,501.0,401.0,,501.0,501.0,,501.0,401.0,,501.0,,501.0,501.0,351.0,,501.0,501.0,501.0,,,
mainz 05,Germany,501.0,501.0,501.0,501.0,501.0,,501.0,501.0,,501.0,401.0,,501.0,,501.0,501.0,351.0,,501.0,501.0,501.0,,,
augsburg,Germany,751.0,301.0,251.0,501.0,251.0,,751.0,501.0,,301.0,251.0,,501.0,,501.0,751.0,301.0,,301.0,251.0,301.0,,,
hoffenheim,Germany,251.0,251.0,251.0,251.0,251.0,,501.0,251.0,,251.0,201.0,,501.0,,501.0,751.0,201.0,,251.0,151.0,251.0,,,
fc koln,Germany,751.0,501.0,501.0,751.0,501.0,,751.0,501.0,,801.0,501.0,,501.0,,751.0,751.0,501.0,,801.0,751.0,801.0,,,
hamburg,Germany,501.0,301.0,301.0,501.0,301.0,,751.0,501.0,,501.0,501.0,,1001.0,,501.0,501.0,401.0,,501.0,251.0,501.0,,,
hannover 96,Germany,501.0,501.0,501.0,501.0,501.0,,751.0,501.0,,801.0,501.0,,1001.0,,751.0,1001.0,501.0,,801.0,251.0,801.0,,,
hertha berlin,Germany,1001.0,751.0,751.0,751.0,751.0,,1001.0,501.0,,801.0,751.0,,1001.0,,751.0,1001.0,601.0,,801.0,751.0,801.0,,,
vfb stuttgart,Germany,501.0,501.0,251.0,401.0,251.0,,751.0,501.0,,301.0,301.0,,1001.0,,751.0,751.0,301.0,,301.0,251.0,301.0,,,
werder bremen,Germany,501.0,301.0,251.0,501.0,251.0,,1001.0,501.0,,501.0,351.0,,1001.0,,751.0,501.0,351.0,,501.0,251.0,501.0,,,
ingolstadt,Germany,1501.0,1501.0,1001.0,1001.0,1001.0,,2001.0,501.0,,2001.0,1001.0,,2001.0,,2001.0,1001.0,1001.0,,2001.0,751.0,2001.0,,,
darmstadt,Germany,10001.0,1501.0,1001.0,1501.0,1001.0,,5001.0,501.0,,3001.0,1501.0,,2001.0,,,2501.0,1001.0,,3001.0,1001.0,3001.0,,,
barcelona,Spain,1.73,1.67,1.73,1.73,1.73,,1.67,1.67,,1.7,1.67,,1.67,1.73,,1.73,,1.73,1.7,,1.7,,,
real madrid,Spain,2.63,2.62,2.63,2.5,2.63,,2.5,2.5,,2.65,2.3,,2.4,2.5,,2.5,,2.5,2.65,,2.65,,,
atletico madrid,Spain,15.0,15.0,17.0,21.0,17.0,,21.0,15.0,,18.0,21.0,,21.0,15.0,,15.0,,15.0,18.0,,18.0,,,
seville,Spain,41.0,51.0,41.0,51.0,41.0,,51.0,51.0,,51.0,67.0,,67.0,41.0,,41.0,,41.0,51.0,,51.0,,,
valencia,Spain,41.0,34.0,29.0,51.0,29.0,,51.0,34.0,,51.0,67.0,,67.0,34.0,,34.0,,34.0,51.0,,51.0,,,
villarreal,Spain,101.0,101.0,301.0,251.0,301.0,,251.0,226.0,,101.0,301.0,,301.0,101.0,,251.0,,101.0,101.0,,101.0,,,
athletic bilbao,Spain,201.0,101.0,401.0,301.0,401.0,,251.0,301.0,,251.0,501.0,,501.0,201.0,,251.0,,201.0,251.0,,251.0,,,
celta vigo,Spain,,501.0,501.0,501.0,501.0,,501.0,501.0,,501.0,751.0,,751.0,501.0,,501.0,,501.0,501.0,,501.0,,,
malaga,Spain,501.0,501.0,501.0,501.0,501.0,,501.0,501.0,,501.0,1001.0,,751.0,501.0,,501.0,,501.0,501.0,,501.0,,,
real sociedad,Spain,,501.0,501.0,751.0,501.0,,1001.0,501.0,,1001.0,1001.0,,1001.0,501.0,,501.0,,501.0,1001.0,,1001.0,,,
espanyol,Spain,1001.0,1001.0,751.0,1001.0,751.0,,1001.0,501.0,,1001.0,1501.0,,1001.0,751.0,,751.0,,751.0,1001.0,,1001.0,,,
elche,Spain,,1501.0,,,,,,501.0,,,,,2501.0,,,,,,,,,,,
betis,Spain,,1501.0,1501.0,1501.0,1501.0,,5001.0,501.0,,2501.0,5001.0,,1001.0,1001.0,,1501.0,,1001.0,2501.0,,2501.0,,,
rayo vallecano,Spain,,1001.0,2001.0,2001.0,2001.0,,2501.0,501.0,,2501.0,5001.0,,2501.0,1501.0,,2001.0,,1501.0,2501.0,,2501.0,,,
deportivo la coruna,Spain,,1001.0,1501.0,2501.0,1501.0,,,501.0,,2501.0,10001.0,,2501.0,1001.0,,1501.0,,1001.0,2501.0,,2501.0,,,
eibar,Spain,,,2501.0,2501.0,2501.0,,5001.0,,,,10001.0,,,,,2001.0,,,,,,,,
getafe,Spain,,5001.0,1501.0,2501.0,1501.0,,5001.0,501.0,,2501.0,10001.0,,2501.0,1501.0,,2501.0,,1501.0,2501.0,,2501.0,,,
gijon,Spain,,,2501.0,2501.0,2501.0,,5001.0,,,2501.0,10001.0,,,,,,,,2501.0,,2501.0,,,
granada,Spain,,5001.0,2001.0,2501.0,2001.0,,5001.0,501.0,,2501.0,10001.0,,2501.0,2501.0,,2501.0,,2501.0,2501.0,,2501.0,,,
levante,Spain,,5001.0,2501.0,2501.0,2501.0,,2501.0,501.0,,2501.0,10001.0,,2501.0,2501.0,,2501.0,,2501.0,2501.0,,2501.0,,,
chelsea,England,2.5,2.5,2.38,2.4,2.38,,2.25,2.5,2.25,2.38,2.2,2.5,2.5,2.38,2.37,2.5,2.35,2.38,2.38,2.3,2.38,,2.57,2.62
man city,England,3.75,3.75,3.75,3.75,3.75,,3.75,3.6,3.75,3.75,3.5,3.5,3.75,3.75,3.75,3.75,3.55,3.75,3.75,3.75,3.75,,3.62,3.81
arsenal,England,5.5,5.0,5.5,6.0,5.5,,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,5.0,5.5,5.5,6.0,6.0,5.0,6.0,,5.17,5.55
man utd,England,6.0,6.0,6.0,5.5,6.0,,6.0,6.0,6.0,5.5,6.5,6.0,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.0,5.5,,6.24,6.74
liverpool,England,21.0,26.0,17.0,23.0,17.0,,21.0,31.0,21.0,21.0,29.0,21.0,26.0,15.0,21.0,19.0,21.0,15.0,21.0,17.0,21.0,,33.0,35.0
tottenham,England,101.0,81.0,67.0,101.0,67.0,,101.0,91.0,81.0,101.0,101.0,101.0,101.0,81.0,101.0,81.0,86.0,81.0,101.0,51.0,101.0,,103.0,100.0
southampton,England,201.0,101.0,201.0,251.0,201.0,,251.0,201.0,151.0,251.0,251.0,251.0,251.0,201.0,251.0,201.0,201.0,201.0,251.0,151.0,251.0,,373.0,496.0
everton,England,251.0,151.0,251.0,251.0,251.0,,301.0,201.0,201.0,301.0,301.0,251.0,251.0,251.0,251.0,301.0,221.0,251.0,301.0,151.0,301.0,,407.0,298.0
crystal palace,England,2001.0,1501.0,2001.0,2001.0,2001.0,,3001.0,1001.0,1001.0,2501.0,3001.0,2001.0,2001.0,1501.0,1501.0,2501.0,1001.0,1501.0,2501.0,1501.0,2501.0,,907.0,990.0
newcastle,England,2501.0,1001.0,1001.0,2001.0,1001.0,,2501.0,501.0,1001.0,2501.0,3001.0,1001.0,1501.0,1501.0,1501.0,1001.0,1001.0,1501.0,2501.0,1001.0,2501.0,,907.0,990.0
stoke,England,1001.0,1501.0,1001.0,1501.0,1001.0,,2001.0,501.0,501.0,1501.0,3001.0,1501.0,1501.0,1001.0,1001.0,1501.0,1001.0,1001.0,1501.0,1001.0,1501.0,,907.0,990.0
swansea,England,1501.0,2501.0,1001.0,1501.0,1001.0,,2001.0,501.0,501.0,1501.0,3001.0,1501.0,1501.0,1001.0,1501.0,1501.0,1001.0,1001.0,1501.0,501.0,1501.0,,907.0,990.0
west ham,England,1501.0,2501.0,1001.0,1501.0,1001.0,,2001.0,501.0,501.0,1501.0,3001.0,1001.0,1501.0,1001.0,1001.0,1501.0,1001.0,1001.0,1501.0,501.0,1501.0,,907.0,990.0
aston villa,England,2501.0,5001.0,1501.0,2001.0,1501.0,,2501.0,1001.0,1001.0,2501.0,5001.0,1501.0,1501.0,1501.0,2001.0,1501.0,1001.0,1501.0,2501.0,1001.0,2501.0,,902.0,990.0
leicester,England,2001.0,2501.0,2001.0,2501.0,2001.0,,3001.0,1001.0,1001.0,2501.0,5001.0,2001.0,2501.0,2001.0,2501.0,2501.0,1001.0,2001.0,2501.0,1501.0,2501.0,,907.0,990.0
