name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.3,1.3,1.29,1.3,1.29,1.3,1.25,1.33,1.25,1.33,1.29,,1.29,1.28,1.29,1.3,1.33,1.26,1.25,1.3,1.31,1.35,1.32,
Bor Dortmund,Germany,4.0,3.75,3.75,3.75,3.75,4.0,4.33,3.75,4.0,3.75,4.0,,4.0,3.75,4.0,3.5,3.75,3.7,3.0,3.75,3.7,3.94,3.71,
Bayer Leverkusen,Germany,34.0,29.0,23.0,26.0,23.0,29.0,26.0,26.0,34.0,30.0,26.0,,26.0,26.0,34.0,26.0,30.0,29.0,34.0,29.0,44.0,48.0,47.0,
Schalke 04,Germany,81.0,67.0,51.0,51.0,51.0,67.0,81.0,51.0,67.0,75.0,67.0,,67.0,67.0,67.0,34.0,75.0,71.0,67.0,67.0,58.0,67.0,65.0,
VfL Wolfsburg,Germany,151.0,151.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,150.0,126.0,,126.0,101.0,151.0,101.0,150.0,121.0,101.0,126.0,124.0,162.0,152.0,
VfB Stuttgart,Germany,201.0,201.0,151.0,151.0,151.0,151.0,151.0,201.0,301.0,200.0,251.0,,201.0,201.0,301.0,151.0,200.0,251.0,301.0,251.0,190.0,257.0,238.0,
Werder Bremen,Germany,301.0,201.0,301.0,201.0,301.0,251.0,201.0,251.0,251.0,300.0,501.0,,501.0,351.0,251.0,251.0,300.0,301.0,251.0,301.0,470.0,266.0,622.0,
Bor Monchengladbach,Germany,501.0,201.0,201.0,201.0,201.0,201.0,151.0,201.0,251.0,150.0,201.0,,201.0,251.0,201.0,151.0,150.0,251.0,251.0,251.0,330.0,295.0,428.0,
Hamburg,Germany,301.0,251.0,401.0,351.0,401.0,201.0,201.0,251.0,251.0,200.0,501.0,,501.0,251.0,301.0,201.0,200.0,301.0,251.0,301.0,615.0,760.0,888.0,
Hannover 96,Germany,301.0,251.0,201.0,301.0,201.0,251.0,251.0,401.0,301.0,150.0,251.0,,251.0,251.0,751.0,101.0,150.0,301.0,301.0,301.0,255.0,352.0,328.0,
