name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,1.11,1.11,1.08,1.11,,1.05,1.07,,1.12,1.11,,1.06,1.1,1.06,1.1,1.08,1.1,1.12,1.12,1.12,,,
freiburg,Germany,,,,,,,,,,,,,,,,,,,,7.0,,,,
nurnberg,Germany,,,,,,,,,,,,,,,,,,,,10.0,,,,
paderborn,Germany,,,,,,,,,,,,,,,,,,,,10.0,,,,
braunschweig,Germany,,,,,,,,,,,,,,,,,,,,12.0,,,,
fortuna dusseldorf,Germany,,,,,,,,,,,,,,,,,,,,19.0,,,,
bor dortmund,Germany,21.0,15.0,15.0,,15.0,,,21.0,,,15.0,,17.0,15.0,17.0,17.0,14.0,15.0,14.0,,,,,
vfl wolfsburg,Germany,17.0,17.0,17.0,,17.0,,,18.0,,18.0,17.0,,21.0,17.0,17.0,17.0,13.0,17.0,18.0,13.0,18.0,,,
wolfsburg,Germany,,,,17.0,,,21.0,,,,,,,,,,,,,,,,,
gr furth,Germany,,,,,,,,,,,,,,,,,,,,34.0,,,,
bayer leverkusen,Germany,41.0,34.0,34.0,34.0,34.0,,,34.0,,34.0,34.0,,41.0,34.0,41.0,34.0,27.0,34.0,34.0,26.0,34.0,,,
bor monchengladbach,Germany,41.0,34.0,29.0,,29.0,,,41.0,,,34.0,,51.0,29.0,41.0,41.0,29.0,29.0,34.0,,,,,
schalke 04,Germany,51.0,41.0,41.0,41.0,41.0,,51.0,41.0,,41.0,51.0,,51.0,51.0,41.0,41.0,35.0,51.0,41.0,51.0,41.0,,,
monchengladbach,Germany,,,,,,,201.0,,,,,,,,,,,,,,,,,
eintracht frankfurt,Germany,501.0,501.0,401.0,501.0,401.0,,501.0,501.0,,501.0,401.0,,501.0,501.0,501.0,501.0,351.0,501.0,501.0,501.0,501.0,,,
mainz 05,Germany,501.0,501.0,501.0,501.0,501.0,,501.0,501.0,,501.0,401.0,,501.0,251.0,501.0,501.0,351.0,251.0,501.0,501.0,501.0,,,
dortmund,Germany,,,,,,,501.0,,,,,,,,,,,,,,,,,
augsburg,Germany,751.0,301.0,251.0,501.0,251.0,,751.0,501.0,,301.0,251.0,,501.0,201.0,501.0,751.0,301.0,201.0,301.0,251.0,301.0,,,
hoffenheim,Germany,251.0,251.0,251.0,251.0,251.0,,501.0,251.0,,251.0,201.0,,501.0,151.0,501.0,751.0,200.0,151.0,251.0,151.0,251.0,,,
hannover,Germany,,,,501.0,,,751.0,,,,,,,,,,,,,,,,,
fc koln,Germany,751.0,501.0,501.0,751.0,501.0,,751.0,501.0,,801.0,501.0,,501.0,501.0,751.0,751.0,451.0,501.0,801.0,751.0,801.0,,,
hamburg,Germany,501.0,301.0,301.0,501.0,301.0,,751.0,501.0,,501.0,501.0,,1001.0,501.0,501.0,501.0,351.0,501.0,501.0,251.0,501.0,,,
hannover 96,Germany,501.0,501.0,501.0,,501.0,,,501.0,,801.0,501.0,,1001.0,501.0,751.0,1001.0,451.0,501.0,801.0,251.0,801.0,,,
hertha berlin,Germany,1001.0,751.0,751.0,751.0,751.0,,1001.0,501.0,,801.0,751.0,,1001.0,751.0,751.0,1001.0,551.0,751.0,801.0,751.0,801.0,,,
vfb stuttgart,Germany,501.0,501.0,251.0,401.0,251.0,,751.0,501.0,,301.0,301.0,,1001.0,251.0,751.0,751.0,251.0,251.0,301.0,251.0,301.0,,,
werder bremen,Germany,501.0,301.0,251.0,501.0,251.0,,1001.0,501.0,,501.0,351.0,,1001.0,251.0,751.0,501.0,351.0,251.0,501.0,251.0,501.0,,,
