name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,1.11,1.11,1.08,1.11,1.1,1.05,1.07,1.06,1.12,1.1,1.1,1.06,1.1,1.1,1.1,1.1,1.1,1.12,1.12,1.12,1.1,,
vfl wolfsburg,Germany,17.0,,17.0,,17.0,,,18.0,,18.0,17.0,,21.0,17.0,15.0,17.0,,17.0,18.0,17.0,18.0,12.9,,
bor dortmund,Germany,21.0,15.0,15.0,17.0,15.0,15.0,21.0,21.0,12.0,14.0,15.0,21.0,17.0,15.0,21.0,17.0,17.0,15.0,14.0,19.0,14.0,18.1,,
wolfsburg,Germany,,17.0,,17.0,,13.0,21.0,,11.0,,,21.0,,,,,16.0,,,,,,,
bayer leverkusen,Germany,41.0,34.0,34.0,34.0,34.0,34.0,41.0,34.0,23.0,34.0,34.0,26.0,41.0,34.0,41.0,34.0,35.0,34.0,34.0,34.0,34.0,32.0,,
bor monchengladbach,Germany,41.0,34.0,29.0,34.0,29.0,34.0,51.0,41.0,26.0,34.0,34.0,41.0,51.0,29.0,41.0,41.0,37.0,29.0,34.0,41.0,34.0,32.0,,
schalke 04,Germany,51.0,41.0,41.0,41.0,41.0,41.0,51.0,41.0,29.0,41.0,51.0,101.0,51.0,51.0,41.0,41.0,45.0,51.0,41.0,51.0,41.0,32.0,,
mainz 05,Germany,501.0,501.0,501.0,501.0,501.0,401.0,501.0,501.0,301.0,401.0,401.0,501.0,501.0,251.0,501.0,501.0,451.0,251.0,401.0,501.0,401.0,95.0,,
augsburg,Germany,751.0,301.0,251.0,501.0,251.0,501.0,751.0,501.0,301.0,301.0,251.0,751.0,501.0,201.0,501.0,751.0,401.0,201.0,301.0,501.0,301.0,95.0,,
eintracht frankfurt,Germany,501.0,501.0,401.0,501.0,401.0,501.0,501.0,501.0,301.0,501.0,401.0,751.0,501.0,501.0,501.0,501.0,451.0,501.0,501.0,501.0,501.0,95.0,,
hoffenheim,Germany,251.0,251.0,251.0,251.0,251.0,251.0,501.0,251.0,176.0,251.0,201.0,501.0,501.0,151.0,501.0,751.0,251.0,151.0,251.0,251.0,251.0,95.0,,
fc koln,Germany,751.0,501.0,501.0,751.0,501.0,501.0,751.0,501.0,401.0,801.0,501.0,1001.0,501.0,501.0,751.0,751.0,601.0,501.0,801.0,751.0,801.0,95.0,,
hamburg,Germany,501.0,301.0,301.0,501.0,301.0,501.0,751.0,501.0,301.0,501.0,501.0,1001.0,1001.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,95.0,,
hannover 96,Germany,501.0,,501.0,,501.0,,,501.0,401.0,801.0,501.0,,1001.0,501.0,751.0,1001.0,,501.0,801.0,1001.0,801.0,95.0,,
hertha berlin,Germany,1001.0,751.0,751.0,751.0,751.0,501.0,1001.0,501.0,501.0,801.0,751.0,1001.0,1001.0,751.0,751.0,1001.0,701.0,751.0,801.0,751.0,801.0,95.0,,
vfb stuttgart,Germany,501.0,501.0,251.0,401.0,251.0,301.0,751.0,501.0,251.0,301.0,301.0,501.0,1001.0,251.0,751.0,751.0,401.0,251.0,301.0,501.0,301.0,95.0,,
werder bremen,Germany,501.0,301.0,251.0,501.0,251.0,301.0,1001.0,501.0,301.0,501.0,351.0,1001.0,1001.0,251.0,751.0,501.0,401.0,251.0,501.0,501.0,501.0,95.0,,
hannover,Germany,,501.0,,501.0,,501.0,751.0,,,,,1001.0,,,,,601.0,,,,,,,
ingolstadt,Germany,1501.0,1501.0,1001.0,1001.0,1001.0,751.0,2001.0,501.0,751.0,2001.0,1001.0,2501.0,2001.0,751.0,2001.0,1001.0,1001.0,751.0,2001.0,1001.0,2001.0,95.0,,
darmstadt,Germany,10001.0,1501.0,1001.0,1501.0,1001.0,1001.0,5001.0,501.0,751.0,3001.0,1501.0,5001.0,2001.0,1501.0,5001.0,2501.0,1001.0,1501.0,3001.0,2001.0,3001.0,95.0,,
barcelona,Spain,1.73,1.67,1.73,1.73,1.73,1.75,1.67,1.67,1.62,1.65,1.67,1.62,1.67,1.73,1.61,1.73,1.63,1.73,1.65,1.73,1.65,,,
real madrid,Spain,2.63,2.62,2.63,2.5,2.63,2.5,2.5,2.5,2.25,2.7,2.3,2.75,2.4,2.5,2.5,2.5,2.4,2.5,2.7,2.6,2.7,,,
atletico madrid,Spain,15.0,15.0,17.0,21.0,17.0,15.0,21.0,15.0,13.0,21.0,21.0,17.0,21.0,15.0,17.0,15.0,16.5,15.0,21.0,19.0,21.0,,,
seville,Spain,41.0,51.0,41.0,51.0,41.0,41.0,51.0,51.0,41.0,67.0,67.0,67.0,67.0,41.0,51.0,41.0,50.0,41.0,67.0,67.0,67.0,,,
valencia,Spain,41.0,34.0,29.0,51.0,29.0,34.0,51.0,34.0,34.0,67.0,67.0,67.0,67.0,34.0,51.0,34.0,49.0,34.0,67.0,67.0,67.0,,,
villarreal,Spain,101.0,101.0,301.0,251.0,301.0,101.0,251.0,226.0,126.0,151.0,301.0,201.0,301.0,101.0,251.0,251.0,185.0,101.0,151.0,201.0,151.0,,,
