name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.02,1.02,1.01,1.02,1.01,1.01,1.02,1.03,1.02,1.01,1.02,1.02,1.01,1.02,1.01,1.02,1.01,1.02,1.01,1.02,1.01,1.03,,1.04,,
bor dortmund,Germany,21.0,17.0,15.0,17.0,15.0,13.0,13.0,13.0,17.0,24.0,15.0,13.0,17.0,13.0,15.0,15.0,13.8,13.0,24.0,15.0,24.0,22.0,,12.4,,
wolfsburg,Germany,501.0,251.0,301.0,,301.0,501.0,101.0,251.0,251.0,1001.0,251.0,501.0,501.0,67.0,251.0,251.0,301.0,67.0,1001.0,251.0,1001.0,500.0,,21.0,,
bor monchengladbach,Germany,751.0,,401.0,,401.0,501.0,81.0,251.0,501.0,1001.0,201.0,501.0,501.0,81.0,251.0,251.0,351.0,81.0,1001.0,251.0,1001.0,801.0,,95.0,,
bayer leverkusen,Germany,401.0,201.0,401.0,,401.0,151.0,101.0,251.0,201.0,1001.0,201.0,301.0,401.0,81.0,151.0,201.0,251.0,81.0,1001.0,251.0,1001.0,400.0,,105.0,,
hertha berlin,Germany,1001.0,,501.0,,501.0,1501.0,751.0,251.0,,1201.0,251.0,,501.0,751.0,751.0,751.0,551.0,751.0,1201.0,501.0,1201.0,1001.0,,95.0,,
schalke 04,Germany,1001.0,,751.0,,751.0,751.0,101.0,501.0,751.0,1501.0,401.0,501.0,751.0,101.0,501.0,501.0,551.0,101.0,1501.0,501.0,1501.0,1001.0,,219.0,,
hamburg,Germany,3001.0,,2501.0,,2501.0,,1001.0,501.0,,4001.0,1001.0,,,1001.0,,,1001.0,1001.0,4001.0,,4001.0,1001.0,,95.0,,
fc koln,Germany,3501.0,,2501.0,,2501.0,,501.0,501.0,,4001.0,751.0,,,1001.0,,,1001.0,1001.0,4001.0,5001.0,4001.0,1001.0,,21.0,,
mainz 05,Germany,2501.0,,2501.0,,2501.0,,751.0,501.0,,4001.0,1001.0,,,1001.0,,,1001.0,1001.0,4001.0,5001.0,4001.0,1001.0,,95.0,,
ingolstadt,Germany,4501.0,,5001.0,,5001.0,,1501.0,501.0,,8001.0,2001.0,,,1001.0,,,1001.0,1001.0,8001.0,,8001.0,1001.0,,90.0,,
augsburg,Germany,4001.0,,,,,,1001.0,501.0,,9001.0,1001.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,21.0,,
eintracht frankfurt,Germany,4501.0,,,,,,751.0,501.0,,9001.0,2001.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,21.0,,
hannover,Germany,4501.0,,,,,,751.0,501.0,,9001.0,3501.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,21.0,,
hoffenheim,Germany,4501.0,,,,,,1001.0,501.0,,9001.0,3501.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,21.0,,
vfb stuttgart,Germany,4501.0,,,,,,1001.0,501.0,,9001.0,2001.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,21.0,,
werder bremen,Germany,4501.0,,,,,,1501.0,501.0,,9001.0,3501.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,27.0,,
darmstadt,Germany,4501.0,,,,,,5001.0,501.0,,9001.0,3501.0,,,1001.0,,,1001.0,1001.0,9001.0,,9001.0,1001.0,,90.0,,
barcelona,Spain,1.22,1.2,1.2,1.22,1.2,1.2,1.22,1.22,1.2,1.22,1.2,1.14,1.17,1.2,1.2,1.22,1.2,1.2,1.22,1.2,1.22,1.22,,1.23,,
real madrid,Spain,5.5,6.0,5.0,5.5,5.0,6.0,5.0,5.5,5.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,5.5,6.0,6.0,,6.51,5.66,
atletico madrid,Spain,13.0,11.0,13.0,13.0,13.0,10.0,11.0,10.0,13.0,12.0,13.0,21.0,11.0,13.0,11.0,13.0,12.3,13.0,12.0,13.0,12.0,10.0,,19.0,18.9,
celta vigo,Spain,501.0,,401.0,,401.0,501.0,501.0,251.0,401.0,751.0,501.0,501.0,,251.0,201.0,251.0,501.0,251.0,751.0,501.0,751.0,551.0,,95.0,151.0,
villarreal,Spain,501.0,251.0,301.0,,301.0,751.0,501.0,501.0,401.0,751.0,501.0,1001.0,,251.0,151.0,501.0,601.0,251.0,751.0,,751.0,551.0,,760.0,742.0,
athletic bilbao,Spain,2001.0,,1001.0,,1001.0,1001.0,,501.0,,1501.0,1001.0,251.0,,751.0,,1001.0,1001.0,751.0,1501.0,,1501.0,,,143.0,286.0,
seville,Spain,501.0,,301.0,,301.0,401.0,201.0,326.0,751.0,1001.0,2001.0,1001.0,,251.0,501.0,301.0,601.0,251.0,1001.0,501.0,1001.0,251.0,,143.0,218.0,
deportivo la coruna,Spain,4501.0,,,,,,5001.0,501.0,,2501.0,1001.0,67.0,,2501.0,,,1001.0,2501.0,2501.0,,2501.0,,,143.0,153.0,
eibar,Spain,4501.0,,,,,,5001.0,501.0,,3001.0,5001.0,12.0,,2501.0,,,1001.0,2501.0,3001.0,,3001.0,,,143.0,153.0,
valencia,Spain,1001.0,,751.0,,751.0,751.0,501.0,501.0,1001.0,1501.0,5001.0,1001.0,,751.0,1001.0,751.0,851.0,751.0,1501.0,,1501.0,551.0,,409.0,504.0,
betis,Spain,4501.0,,,,,,5001.0,501.0,,3001.0,10001.0,11.0,,2501.0,,,1001.0,2501.0,3001.0,,3001.0,5501.0,,143.0,917.0,
espanyol,Spain,4501.0,,,,,,1001.0,501.0,,3001.0,10001.0,11.0,,1501.0,,,1001.0,1501.0,3001.0,,3001.0,1001.0,,143.0,153.0,
getafe,Spain,4501.0,,,,,,5001.0,501.0,,5001.0,10001.0,4.0,,2501.0,,,1001.0,2501.0,5001.0,,5001.0,,,143.0,917.0,
gijon,Spain,4501.0,,,,,,5001.0,501.0,,5001.0,10001.0,2.25,,2501.0,,,1001.0,2501.0,5001.0,,5001.0,,,143.0,917.0,
granada,Spain,4501.0,,,,,,5001.0,501.0,,5001.0,10001.0,2.1,,2501.0,,,1001.0,2501.0,5001.0,,5001.0,,,143.0,917.0,
levante,Spain,4501.0,,,,,,2501.0,501.0,,5001.0,10001.0,1.33,,2501.0,,,1001.0,2501.0,5001.0,,5001.0,,,143.0,917.0,
rayo vallecano,Spain,3001.0,,,,,,2501.0,501.0,,4001.0,10001.0,3.75,,2501.0,,,1001.0,2501.0,4001.0,,4001.0,,,143.0,153.0,
real sociedad,Spain,4001.0,,,,,,1001.0,501.0,,4001.0,10001.0,9.0,,2501.0,,,1001.0,2501.0,4001.0,,4001.0,,,143.0,369.0,
ud las palmas,Spain,4501.0,,,,,,5001.0,501.0,,5001.0,10001.0,1.67,,5001.0,,,1001.0,5001.0,5001.0,,5001.0,,,143.0,917.0,
malaga,Spain,4501.0,,,,,,501.0,501.0,,4001.0,10001.0,11.0,,1501.0,,,1001.0,1501.0,4001.0,,4001.0,551.0,,228.0,233.0,
arsenal,England,2.38,2.0,2.25,,2.25,2.2,2.2,2.38,2.38,2.35,2.0,2.25,2.38,,2.37,2.38,,,2.35,2.3,2.35,2.5,,2.37,,2.26
man city,England,2.38,2.5,2.5,,2.5,2.4,2.5,2.38,2.38,2.4,2.5,2.5,2.38,,2.37,2.5,,,2.4,2.3,2.4,2.35,,2.54,,2.41
tottenham,England,11.0,11.0,10.0,,10.0,11.0,11.0,11.0,10.0,10.0,11.0,9.0,9.0,,10.0,11.0,,,10.0,10.0,10.0,10.0,,11.0,,9.91
leicester,England,13.0,17.0,15.0,,15.0,13.0,17.0,13.0,15.0,15.0,15.0,15.0,15.0,,15.0,15.0,,,15.0,15.0,15.0,15.0,,16.2,,10.9
man utd,England,29.0,34.0,23.0,,23.0,29.0,29.0,26.0,26.0,29.0,29.0,26.0,26.0,,29.0,23.0,,,29.0,29.0,29.0,31.0,,28.0,,15.4
liverpool,England,34.0,34.0,34.0,,34.0,23.0,23.0,34.0,34.0,34.0,34.0,29.0,34.0,,34.0,34.0,,,34.0,34.0,34.0,31.0,,36.0,,17.3
chelsea,England,151.0,251.0,126.0,,126.0,151.0,251.0,151.0,151.0,151.0,201.0,151.0,151.0,,101.0,101.0,,,151.0,151.0,151.0,126.0,,228.0,,
crystal palace,England,501.0,501.0,501.0,,501.0,501.0,326.0,501.0,301.0,501.0,301.0,251.0,251.0,,251.0,501.0,,,501.0,501.0,501.0,501.0,,409.0,,
everton,England,501.0,1001.0,501.0,,501.0,751.0,751.0,301.0,401.0,501.0,501.0,1001.0,501.0,,751.0,501.0,,,501.0,501.0,501.0,401.0,,418.0,,
stoke,England,501.0,1501.0,1001.0,,1001.0,,,1001.0,1001.0,501.0,1001.0,1501.0,,,,,,,501.0,751.0,501.0,601.0,,570.0,,
west ham,England,1501.0,2001.0,501.0,,501.0,,,1001.0,1001.0,1001.0,751.0,2001.0,,,,1001.0,,,1001.0,1001.0,1001.0,1251.0,,770.0,,
watford,England,1501.0,2501.0,751.0,,751.0,,,1001.0,1001.0,1001.0,1001.0,1001.0,,,1001.0,,,,1001.0,1001.0,1001.0,1251.0,,950.0,,
bournemouth,England,2501.0,,1501.0,,1501.0,,,4001.0,4001.0,,3001.0,5001.0,,,,,,,,,,3001.0,,950.0,,31.0
southampton,England,1501.0,5001.0,1001.0,,1001.0,,,1001.0,1501.0,1501.0,1001.0,1501.0,,,,,,,1501.0,1001.0,1501.0,1501.0,,950.0,,
west brom,England,2501.0,,3001.0,,3001.0,,,3001.0,3001.0,,5001.0,5001.0,,,,,,,,,,2501.0,,950.0,,31.0
aston villa,England,4751.0,,5001.0,,5001.0,,,5001.0,5001.0,,10001.0,,,,,,,,,,,5001.0,,950.0,,31.0
newcastle,England,3501.0,,1751.0,,1751.0,,,4001.0,3001.0,,10001.0,,,,,,,,,,,4001.0,,950.0,,31.0
norwich,England,4501.0,,3001.0,,3001.0,,,5001.0,4001.0,,10001.0,,,,,,,,,,,5001.0,,950.0,,31.0
sunderland,England,4751.0,,5001.0,,5001.0,,,5001.0,5001.0,,10001.0,,,,,,,,,,,5001.0,,950.0,,31.0
swansea,England,3001.0,,1501.0,,1501.0,,,3001.0,3001.0,,10001.0,5001.0,,,,,,,,,,3001.0,,950.0,,
