name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Plzen,d,501.0,501.0,,201.0,,251.0,501.0,251.0,501.0,500.0,751.0,251.0,251.0,251.0,501.0,401.0,500.0,251.0,251.0,,238.0,190.0,
Chelsea,e,1.67,1.62,1.57,1.62,,1.6,1.62,1.62,1.62,1.6,1.7,1.67,1.67,1.62,1.67,1.65,1.6,,1.6,,1.73,1.67,
Schalke 04,e,2.38,2.38,2.5,2.3,,2.38,2.25,2.4,2.5,2.5,2.38,2.3,2.38,2.37,2.25,2.35,2.5,,2.4,,2.39,2.16,
Basel,e,15.0,19.0,15.0,17.0,,15.0,21.0,19.0,19.0,20.0,9.5,13.0,17.0,17.0,13.0,13.0,20.0,,19.0,,17.1,12.2,
Steaua Bucharest,e,251.0,251.0,251.0,151.0,,151.0,151.0,201.0,251.0,150.0,251.0,101.0,251.0,151.0,201.0,251.0,150.0,,251.0,,190.0,173.0,
Arsenal,f,1.73,1.73,1.73,1.73,,1.67,1.73,1.67,1.67,1.7,1.67,1.73,1.67,1.7,1.67,1.72,1.7,,1.7,,1.72,1.66,
Bor Dortmund,f,2.9,2.88,2.75,2.75,,2.75,2.62,2.88,2.88,2.8,2.88,2.75,2.75,2.65,2.75,2.8,2.8,,2.75,,2.65,2.61,
Napoli,f,6.0,7.0,6.5,6.5,,7.0,7.0,7.0,7.0,6.5,6.5,6.0,7.0,7.0,6.5,7.0,6.5,,7.0,,8.22,6.04,
Marseille,f,126.0,101.0,101.0,81.0,,101.0,101.0,101.0,101.0,100.0,101.0,81.0,101.0,101.0,101.0,126.0,100.0,,126.0,,40.0,45.0,
Atletico Madrid,g,1.17,1.17,1.14,1.17,,1.14,1.14,1.17,1.14,1.16,1.1,1.2,1.17,1.16,1.1,1.2,1.16,,1.15,,1.21,1.14,
Porto,g,6.0,5.5,6.0,5.5,,6.0,6.0,5.5,6.5,6.0,7.0,5.5,5.5,5.5,7.0,5.5,6.0,,6.0,,6.51,5.46,
Zenit St Petersburg,g,15.0,15.0,15.0,15.0,,15.0,15.0,14.0,15.0,15.0,17.0,15.0,13.0,14.0,17.0,13.0,15.0,,15.0,,13.4,11.7,
Austria Vienna,g,251.0,251.0,251.0,201.0,,101.0,251.0,201.0,251.0,150.0,201.0,101.0,101.0,201.0,201.0,201.0,150.0,,301.0,,27.0,18.9,
Barcelona,h,1.05,1.04,1.03,1.04,,1.02,1.03,1.04,1.03,1.03,1.04,1.04,1.03,1.02,1.05,1.05,1.03,,1.03,,1.05,0.03,
AC Milan,h,9.0,9.0,9.0,9.0,,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,7.5,10.0,,9.0,,12.9,7.79,
Ajax,h,151.0,101.0,81.0,67.0,,81.0,67.0,101.0,101.0,75.0,101.0,101.0,101.0,81.0,101.0,101.0,75.0,,126.0,,48.0,17.0,
Celtic,h,301.0,301.0,251.0,201.0,,201.0,251.0,251.0,251.0,200.0,251.0,251.0,251.0,251.0,201.0,251.0,200.0,,501.0,,143.0,126.0,
