name,group,max,min,mean,median,twentyfive,seventyfive
real madrid,a,1.53,1.39,1.4242857142857144,1.3999999999999999,1.3999999999999999,1.4399999999999999
psg,a,2.88,2.25,2.657142857142857,2.6200000000000001,2.6000000000000001,2.75
shakhtar donetsk,a,301.0,51.0,135.90000000000001,101.0,101.0,163.5
malmo ff,a,1001.0,251.0,501.0,501.0,501.0,501.0
man utd,b,2.2,1.91,2.0733333333333333,2.1000000000000001,2.0,2.1000000000000001
wolfsburg,b,3.5,2.8,2.985238095238095,3.0,2.8799999999999999,3.0
cska moscow,b,6.5,4.5,5.3957142857142859,5.5,5.0,5.5
psv,b,11.0,6.5,9.8233333333333324,10.0,10.0,11.0
benfica,c,1.73,1.5,1.6605263157894736,1.6699999999999999,1.6200000000000001,1.7
atletico madrid,c,2.45,2.0,2.2045000000000003,2.2000000000000002,2.2000000000000002,2.2125000000000004
galatasaray,c,51.0,21.0,32.89473684210526,28.0,26.0,41.0
fc astana,c,501.0,101.0,279.94736842105266,251.0,201.0,326.0
juventus,d,1.57,1.4,1.5035000000000001,1.5,1.5,1.53
man city,d,3.75,3.0,3.2749999999999999,3.25,3.0750000000000002,3.2999999999999998
sevilla,d,11.0,7.5,9.0500000000000007,9.0,8.875,9.25
monchengladbach,d,101.0,41.0,72.0,67.0,67.0,73.5
barcelona,e,1.17,1.02,1.1109523809523811,1.1200000000000001,1.1000000000000001,1.1299999999999999
bayer leverkusen,e,9.0,1.53,7.0609523809523811,7.0,7.0,8.0
roma,e,23.0,2.5,16.504761904761907,17.0,15.0,18.0
bate borisov,e,501.0,13.0,108.25,101.0,51.0,124.0
bayern munich,f,1.05,1.01,1.0204761904761905,1.02,1.02,1.02
arsenal,f,34.0,12.6,20.163636363636364,17.0,17.0,25.25
olympiakos,f,34.0,17.0,26.904761904761905,26.0,26.0,29.0
din zagreb,f,151.0,26.0,65.714285714285708,51.0,34.0,101.0
chelsea,g,2.2,1.73,1.8280952380952382,1.8,1.8,1.8300000000000001
porto,g,2.3,1.95,2.2242857142857142,2.25,2.25,2.25
dynamo kiev,g,11.0,7.5,9.5124999999999993,9.625,9.0,10.0
maccabi tel aviv,g,501.0,87.0,243.1904761904762,251.0,201.0,251.0
zenit,h,1.45,1.18,1.4127272727272726,1.4399999999999999,1.3999999999999999,1.4399999999999999
valencia,h,3.75,2.49,3.4018181818181819,3.5,3.2625000000000002,3.5
lyon,h,13.0,4.59,11.313181818181818,11.65,11.0,12.0
gent,h,51.0,10.2,39.736363636363642,41.0,34.0,42.5
