name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.4,1.4,1.33,,,1.33,1.25,1.4,1.33,1.45,1.33,1.33,1.33,1.29,1.33,1.33,1.45,1.4,1.35,,1.43,1.38,
Bayer Leverkusen,a,4.0,4.5,4.5,,,4.5,5.0,4.5,4.5,3.5,4.33,4.0,4.5,4.5,4.0,4.5,3.5,4.0,4.5,,3.66,2.94,
Shakhtar Donetsk,a,8.0,7.0,7.5,,,7.0,9.0,6.5,8.0,10.0,8.0,8.5,6.5,8.5,9.0,8.0,10.0,7.5,8.0,,7.65,0.03,
Real Sociedad,a,201.0,101.0,101.0,,,151.0,251.0,251.0,151.0,100.0,201.0,101.0,151.0,151.0,251.0,151.0,100.0,101.0,151.0,,19.0,0.03,
Real Madrid,b,1.01,1.02,1.01,1.02,,,1.01,1.01,1.01,1.01,1.0,1.01,1.02,1.01,1.01,1.01,1.01,,1.02,,,0.03,
Galatasaray,b,17.0,17.0,15.0,15.0,,,17.0,21.0,17.0,15.0,21.0,15.0,17.0,17.0,21.0,17.0,15.0,17.0,17.0,,14.3,0.03,
Juventus,b,23.0,17.0,17.0,15.0,,,17.0,21.0,23.0,15.0,21.0,13.0,17.0,15.0,21.0,17.0,15.0,17.0,15.0,,19.0,0.03,
FC Copenhagen,b,1001.0,501.0,501.0,501.0,,,1001.0,501.0,,,,501.0,501.0,501.0,1001.0,501.0,,501.0,501.0,,24.0,0.03,
PSG,c,1.01,1.02,1.01,1.02,,,1.01,1.01,1.01,,1.0,1.02,1.04,1.01,1.02,1.01,,1.02,1.02,,,0.03,
Benfica,c,15.0,13.0,15.0,12.0,,,15.0,19.0,15.0,,19.0,13.0,11.0,13.0,15.0,15.0,,6.5,15.0,,7.27,0.03,
