name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.44,1.4,1.4,1.4,,1.4,1.4,1.5,1.4,1.45,1.5,1.36,1.33,1.4,1.44,1.4,1.33,1.45,1.4,,1.45,1.44,
Bayer Leverkusen,a,3.25,3.75,3.5,3.5,,3.5,3.5,3.1,3.5,3.5,3.0,3.4,3.75,3.5,3.1,3.75,3.85,3.5,3.25,,3.18,2.93,
Shakhtar Donetsk,a,11.0,10.0,10.0,10.0,,10.0,11.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,8.0,11.0,,10.5,9.73,
Real Sociedad,a,,,,,,,,,,,,,,,,,,,,,95.0,,
FC Copenhagen,b,,,,,,,,,,,,501.0,,,,,,,,,95.0,0.03,
Galatasaray,b,,,,,,,,,,,,501.0,,,,,,,,,95.0,0.03,
Real Madrid,b,,,,,,,,,,,,,,,,,,,,,,0.03,
Juventus,b,,,,,,,,,,,,,,,,,,,,,95.0,,
PSG,c,1.02,1.0,1.01,1.01,,,1.0,1.03,1.0,,1.01,1.02,1.0,1.0,1.02,1.01,,,,,,0.03,
Olympiakos,c,10.0,17.0,13.0,13.0,,,17.0,12.0,13.0,,15.0,13.0,,13.0,15.0,17.0,,,13.0,,5.94,0.03,
Benfica,c,201.0,,101.0,151.0,,,201.0,151.0,151.0,,,51.0,26.0,151.0,201.0,,,,101.0,,5.94,0.03,
Anderlecht,c,,,,,,,,,,,,,,,,,,,,,5.94,,
Bayern Munich,d,1.03,1.03,1.03,1.03,,,1.03,1.03,1.03,1.03,1.03,1.04,1.03,1.03,1.03,1.03,1.01,1.03,1.03,,1.06,0.03,
Man City,d,15.0,11.0,11.0,11.0,,,15.0,10.0,11.0,10.0,11.0,10.0,11.0,11.0,13.0,11.0,11.0,10.0,11.0,,8.6,6.43,
Plzen,d,,,,,,,,,,500.0,,,,,,,,500.0,,,,,
Chelsea,e,1.01,1.02,,1.02,,,1.02,1.01,1.01,1.01,1.01,1.02,1.02,1.01,1.02,1.02,1.01,1.01,1.02,,1.04,0.03,
Schalke 04,e,26.0,26.0,,15.0,,,17.0,26.0,21.0,15.0,17.0,15.0,15.0,19.0,17.0,17.0,17.0,15.0,15.0,,11.4,0.03,
Basel,e,81.0,51.0,,51.0,,,51.0,67.0,51.0,70.0,41.0,34.0,41.0,51.0,51.0,41.0,41.0,70.0,51.0,,48.0,0.03,
Steaua Bucharest,e,,,,,,,,,,,,,,,,,,,,,95.0,,
Arsenal,f,1.62,1.62,1.5,1.57,,1.55,1.57,1.5,1.57,1.55,1.53,1.57,1.57,1.53,1.53,1.55,1.55,1.55,1.57,,1.49,1.44,
Napoli,f,3.2,3.25,3.25,3.5,,3.25,3.5,3.5,3.5,4.0,3.5,2.88,3.25,3.5,3.5,3.5,3.5,4.0,3.5,,3.76,3.67,
Bor Dortmund,f,7.0,7.0,7.0,6.0,,7.0,6.0,7.5,6.5,5.5,6.0,7.0,6.0,6.5,5.5,7.0,6.0,5.5,6.0,,6.51,5.75,
Marseille,f,,,,,,,251.0,,,,,,,,,,,,,,,,
Barcelona,h,1.0,,,,,,,,,,,,,,,,,,,,,0.03,
AC Milan,h,201.0,,,,,,,,,,,,,,,,,,,,105.0,0.03,
Ajax,h,,,,,,,,,,,,,,,,,,,,,143.0,0.03,
Celtic,h,,,,,,,,,,,,,,,,,,,,,190.0,171.0,
