name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.25,1.29,1.25,1.25,,1.18,1.25,1.25,,1.22,1.29,1.25,1.22,,1.3,1.25,1.25,1.22,1.17,,1.31,,
Shakhtar Donetsk,a,3.75,3.5,3.75,3.75,,4.33,3.75,3.5,,3.75,3.6,3.75,4.0,,3.5,3.6,3.55,3.75,4.5,,3.47,,
Bayern Munich,d,1.02,1.01,1.01,1.01,,,,1.01,,1.01,1.01,1.01,1.01,,1.0,1.01,1.01,1.01,,,1.02,,
Man City,d,21.0,17.0,17.0,17.0,,,,17.0,,20.0,17.0,17.0,15.0,,21.0,13.0,17.0,20.0,,,20.0,,
Plzen,d,,,,,,,,,,500.0,,,,,,,,500.0,,,,,
Chelsea,e,1.06,1.06,1.06,1.06,,,1.05,1.06,1.05,1.05,1.06,1.05,1.02,,1.05,1.05,1.05,1.05,1.05,,1.06,,
Basel,e,9.0,11.0,11.0,10.0,,,15.0,12.0,11.0,12.0,12.0,15.0,13.0,,15.0,13.0,13.0,12.0,15.0,,13.4,,
Schalke 04,e,21.0,17.0,15.0,15.0,,,17.0,15.0,17.0,16.0,17.0,17.0,17.0,,17.0,17.0,23.0,16.0,17.0,,17.1,,
Arsenal,f,1.36,1.33,1.36,1.33,,1.3,1.33,1.33,1.36,1.25,1.4,1.33,1.36,,1.3,1.3,1.3,1.25,1.33,,1.35,,
Bor Dortmund,f,3.25,3.5,3.25,3.4,,3.5,3.5,3.5,3.25,3.3,3.2,3.5,3.0,,3.25,3.5,3.65,3.3,3.5,,3.76,,
Napoli,f,17.0,21.0,19.0,17.0,,17.0,21.0,19.0,17.0,15.0,13.0,21.0,17.0,,21.0,21.0,26.0,15.0,21.0,,20.0,,
Barcelona,h,1.01,1.01,1.01,,,,,1.01,,1.01,1.02,1.02,,,1.01,1.01,,1.01,,,1.02,,
AC Milan,h,26.0,26.0,26.0,,,,,31.0,,25.0,17.0,17.0,,,17.0,21.0,,25.0,,,25.0,,
Ajax,h,,,,,,,,,,,,,,,,201.0,,,,,114.0,,
