name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.28,1.15,1.2238095238095237,1.22,1.2,1.25
Croatia,a,10.0,6.5,8.4261904761904756,8.5,7.8399999999999999,9.0
Mexico,a,10.0,6.6,8.4499999999999993,9.0,8.0,9.0
Cameroon,a,34.0,15.0,23.614285714285714,26.0,19.0,26.0
Spain,b,1.83,1.62,1.7319047619047618,1.73,1.7,1.8
Netherlands,b,4.0,2.83,3.2952380952380955,3.25,3.2000000000000002,3.3999999999999999
Chile,b,6.0,4.5,5.3180952380952382,5.2699999999999996,5.0,5.5
Australia,b,101.0,25.0,42.19047619047619,34.0,26.0,50.0
Colombia,c,1.83,1.53,1.6533333333333333,1.6699999999999999,1.6000000000000001,1.7
Ivory Coast,c,5.56,4.33,5.0028571428571427,5.0,5.0,5.1699999999999999
Japan,c,6.0,3.9,5.515714285714286,6.0,5.0,6.0
Greece,c,11.0,6.2,8.4542857142857137,8.0,7.5,9.0
Italy,d,2.75,2.25,2.5647619047619048,2.6000000000000001,2.5,2.6299999999999999
Uruguay,d,3.2,2.55,2.7761904761904761,2.75,2.6499999999999999,2.8500000000000001
England,d,3.5,3.0,3.1861904761904762,3.25,3.1000000000000001,3.25
Costa Rica,d,81.0,15.0,38.833333333333336,34.0,26.0,51.0
France,e,1.91,1.64,1.7361904761904763,1.73,1.6699999999999999,1.8
Switzerland,e,4.04,3.25,3.6976190476190478,3.75,3.6000000000000001,3.75
Ecuador,e,5.5,3.7,4.8528571428571423,5.0,4.5,5.5
Honduras,e,34.0,16.0,23.166666666666668,21.0,17.5,25.0
Argentina,f,1.29,1.13,1.2157142857142857,1.22,1.2,1.25
Bosnia-Herzegovina,f,9.0,5.3,7.1680952380952379,7.0,6.5,8.0
Nigeria,f,12.0,6.5,9.3019047619047619,9.1699999999999999,8.3699999999999992,10.0
Iran,f,81.0,15.0,32.547619047619051,29.0,26.0,34.0
Germany,g,1.62,1.45,1.5319047619047619,1.53,1.5,1.55
Portugal,g,4.0,2.91,3.6880000000000002,3.75,3.75,3.75
USA,g,15.7,6.8,11.325714285714286,11.0,10.0,13.0
Ghana,g,17.0,8.0,11.490476190476191,11.0,10.0,12.0
Belgium,h,1.73,1.39,1.6028571428571428,1.6000000000000001,1.5700000000000001,1.6699999999999999
Russia,h,3.61,2.75,3.0895238095238091,3.0,3.0,3.25
South Korea,h,11.9,6.6,9.1276190476190475,9.0,9.0,10.0
Algeria,h,41.0,15.0,25.38095238095238,25.0,23.0,26.0
