name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.28,1.15,1.2252380952380952,1.22,1.2,1.25
Croatia,a,10.0,5.6,8.3876190476190473,8.5,8.0,9.0
Mexico,a,10.0,5.6,8.411428571428571,9.0,8.0,9.0
Cameroon,a,34.0,15.0,23.523809523809526,26.0,19.0,26.0
Spain,b,1.83,1.54,1.7322727272727272,1.74,1.7,1.8
Netherlands,b,4.0,2.76,3.2945454545454549,3.25,3.2000000000000002,3.3999999999999999
Chile,b,6.0,4.5,5.2922727272727279,5.2349999999999994,5.0,5.5
Australia,b,101.0,26.0,44.0,34.0,34.0,50.75
Colombia,c,1.83,1.52,1.6554545454545455,1.6699999999999999,1.6200000000000001,1.6924999999999999
Ivory Coast,c,5.56,4.33,5.0390909090909091,5.0,5.0,5.4175000000000004
Japan,c,6.5,3.25,5.5086363636363638,6.0,5.0,6.0
Greece,c,10.5,6.2,8.2290909090909086,8.0,7.5,9.0
Italy,d,2.75,2.25,2.5668181818181819,2.6000000000000001,2.5,2.6274999999999999
Uruguay,d,3.2,2.55,2.7681818181818181,2.75,2.6349999999999998,2.8500000000000001
England,d,3.5,3.0,3.1959090909090908,3.25,3.1000000000000001,3.2725
Costa Rica,d,81.0,15.0,41.090909090909093,34.5,34.0,51.0
France,e,1.91,1.65,1.7336363636363636,1.7250000000000001,1.6699999999999999,1.8
Switzerland,e,4.04,3.25,3.6909090909090909,3.75,3.6000000000000001,3.75
Ecuador,e,5.5,4.01,4.9428571428571431,5.0,4.5,5.5
Honduras,e,34.0,9.0,22.777272727272727,21.0,17.25,25.75
Argentina,f,1.29,1.15,1.2195454545454545,1.22,1.2,1.25
Bosnia-Herzegovina,f,9.0,4.8,7.2359090909090904,7.25,6.5,8.0
Nigeria,f,12.0,6.5,9.3786363636363639,9.7750000000000004,8.2599999999999998,10.0
Iran,f,81.0,15.0,33.199999999999996,29.5,26.0,34.0
Germany,g,1.62,1.42,1.5361904761904761,1.53,1.5,1.5700000000000001
Portugal,g,4.0,2.91,3.690952380952381,3.75,3.75,3.75
USA,g,13.0,6.8,11.094090909090909,11.0,10.25,12.0
Ghana,g,17.0,8.0,11.201818181818181,11.0,10.0,11.975
Belgium,h,1.73,1.43,1.6109090909090908,1.6100000000000001,1.5700000000000001,1.6699999999999999
Russia,h,3.61,2.75,3.0854545454545454,3.0,3.0,3.25
South Korea,h,10.0,5.5,8.8863636363636367,9.0,8.8424999999999994,9.875
Algeria,h,41.0,15.0,25.136363636363637,25.0,23.0,26.0
