name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,a,1.14,1.12,1.14,1.14,1.14,1.14,1.1,1.11,,1.1,1.11,1.17,1.14,1.14,,1.14,1.15,,1.14,1.1,1.12,1.1,1.12,,
juventus,a,1.13,1.12,1.12,1.13,1.13,1.12,1.12,1.17,,1.1,1.17,1.14,1.14,1.11,,1.16,1.15,,1.11,1.1,1.12,1.1,1.19,,
olympiakos,a,3.75,3.75,3.25,3.5,3.25,3.75,3.75,3.6,,3.25,3.75,3.2,3.25,3.25,,3.5,3.25,,3.25,3.25,3.75,3.25,3.85,,
malmo ff,a,17.0,21.0,17.0,17.0,17.0,19.0,21.0,17.0,,14.0,13.0,21.0,21.0,17.0,,17.0,17.0,,17.0,14.0,15.0,14.0,10.5,,
real madrid,b,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,
liverpool,b,1.53,1.5,1.44,1.5,1.44,1.53,1.5,1.5,,1.3,1.5,1.44,1.5,1.5,,1.53,1.5,,1.5,1.3,1.5,1.3,1.64,1.52,
basel,b,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,,2.5,2.8,2.62,2.5,2.5,,2.5,2.5,,2.5,2.5,2.5,2.5,2.6,2.57,
ludogorets razgrad,b,26.0,26.0,19.0,26.0,19.0,26.0,34.0,23.0,,34.0,17.0,34.0,21.0,26.0,,26.0,26.0,,26.0,34.0,26.0,34.0,19.0,18.0,
zenit,c,1.5,1.53,1.5,1.5,1.5,1.5,1.5,1.53,,1.5,1.5,1.53,1.5,1.53,,1.5,1.5,,1.53,1.5,1.5,1.5,1.45,,
bayer leverkusen,c,1.57,1.53,1.57,1.57,1.57,1.57,1.5,1.5,,1.67,1.55,1.57,1.57,1.57,,1.53,1.55,,1.57,1.67,1.55,1.67,1.62,,
monaco,c,1.67,1.67,1.67,1.7,1.67,1.65,1.67,1.73,,1.62,1.62,1.73,1.67,1.62,,1.72,1.7,,1.62,1.62,1.65,1.62,1.64,,
benfica,c,5.5,5.0,4.33,4.5,4.33,5.0,5.0,5.0,,3.5,5.5,4.33,4.0,4.0,,5.0,4.5,,4.0,3.5,4.25,3.5,4.51,,
dortmund,d,1.02,1.02,1.02,1.03,1.03,1.02,1.01,1.01,,1.02,1.01,1.06,1.02,1.03,,1.04,1.04,,1.03,1.02,1.02,1.02,1.01,,
arsenal,d,1.13,1.14,1.14,1.14,1.14,1.14,1.1,1.11,,1.14,1.07,1.17,1.14,1.16,,1.16,1.17,,1.16,1.14,1.1,1.14,1.19,,
galatasaray,d,7.0,6.0,5.5,5.5,5.5,7.0,8.0,8.5,,4.75,8.0,5.0,6.5,5.5,,6.0,5.0,,5.5,4.75,6.0,4.75,4.23,,
anderlecht,d,15.0,13.0,11.0,11.0,11.0,15.0,17.0,17.0,,10.0,17.0,10.0,11.0,10.0,,10.0,8.5,,10.0,10.0,15.0,10.0,8.41,,
bayern munich,e,1.0,,,,1.01,,,,,,1.0,1.0,,,,1.0,,,,,,,1.03,,
roma,e,1.83,1.8,,,2.0,,1.73,1.91,,1.9,1.83,1.73,,1.75,,1.8,1.8,,1.75,1.9,,1.9,1.71,,
man city,e,1.91,1.91,,,1.73,,2.0,1.91,,1.85,1.83,2.0,1.73,1.85,,1.9,1.9,,1.85,1.85,,1.85,1.76,,
cska moscow,e,67.0,51.0,,,41.0,,67.0,51.0,,26.0,26.0,51.0,,51.0,,51.0,67.0,,51.0,26.0,,26.0,10.5,,
barcelona,f,1.01,1.01,,,1.03,,,1.0,,1.01,1.01,1.0,1.01,,,1.01,1.0,,,1.01,,1.01,1.01,,
psg,f,1.01,1.01,,,1.06,,,1.01,,1.01,1.01,1.02,1.01,1.01,,1.01,1.01,,1.01,1.01,,1.01,1.03,,
ajax,f,19.0,11.0,,,6.0,,,19.0,,8.0,13.0,9.0,11.0,12.0,,11.0,12.0,,12.0,8.0,,8.0,7.65,,
apoel nicosia,f,51.0,101.0,,,26.0,,,151.0,,31.0,41.0,34.0,51.0,51.0,,101.0,51.0,,51.0,31.0,,31.0,32.0,,
chelsea,g,1.0,,,,1.01,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,
schalke 04,g,1.17,1.17,,,1.4,,1.14,,,1.15,1.17,1.17,1.17,1.17,,1.16,1.17,,1.17,1.15,,1.15,1.03,,
sporting lisbon,g,5.0,4.5,,,3.0,,5.0,,,4.0,5.0,4.5,4.5,4.5,,4.5,4.0,,4.5,4.0,,4.0,4.89,,
maribor,g,26.0,29.0,,,15.0,,34.0,,,31.0,13.0,26.0,26.0,26.0,,26.0,34.0,,26.0,31.0,,31.0,10.5,,
porto,h,1.04,1.04,,,1.11,,,1.0,,1.04,1.03,1.05,1.03,1.03,,1.04,1.03,,1.03,1.04,,1.04,1.08,,
shakhtar donetsk,h,1.17,1.14,,,1.67,,,1.17,,1.2,1.22,1.14,1.17,1.17,,1.14,1.1,,1.17,1.2,,1.2,1.14,,
athletic bilbao,h,6.0,6.5,,,2.2,,,5.5,,4.0,5.0,5.0,5.0,5.0,,5.5,7.0,,5.0,4.0,,4.0,3.85,,
bate borisov,h,13.0,11.0,,,6.0,,,15.0,,12.0,9.0,13.0,9.0,9.0,,11.0,8.0,,9.0,12.0,,12.0,8.6,,
