name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.06,1.05,,,,1.05,1.05,1.05,1.05,1.08,1.07,1.06,1.05,1.05,,1.02,1.08,1.06,1.05,,1.09,1.04,
Bayer Leverkusen,a,1.25,1.22,,,,1.22,1.17,1.17,1.22,1.25,1.15,1.25,1.2,1.18,,1.2,1.25,1.22,1.25,,1.22,1.16,
Shakhtar Donetsk,a,2.88,3.25,,,,3.0,3.5,3.3,3.25,2.3,3.5,3.0,3.25,3.25,,3.25,2.3,3.25,3.25,,2.82,2.72,
Real Sociedad,a,51.0,51.0,,,,51.0,41.0,51.0,51.0,100.0,41.0,21.0,41.0,51.0,,51.0,100.0,51.0,51.0,,48.0,0.03,
Juventus,b,1.36,1.4,,,,1.4,1.4,1.36,1.36,1.45,1.4,1.36,1.36,1.4,,1.36,1.45,1.4,1.4,,1.4,1.37,
Galatasaray,b,3.0,3.25,,,,3.0,2.88,3.2,3.25,2.5,3.2,3.25,3.0,3.0,,3.2,2.5,3.0,3.25,,3.52,3.38,
FC Copenhagen,b,29.0,15.0,,,,19.0,17.0,17.0,19.0,15.0,15.0,8.0,17.0,15.0,,17.0,15.0,17.0,17.0,,21.0,18.5,
Real Madrid,b,,,,,,,,,,,,,,,,,,,,,,0.03,
PSG,c,,,,,,,,,,,,1.01,,,,,,,,,,0.03,
Olympiakos,c,1.13,1.11,,,,1.1,1.1,1.1,1.1,1.1,1.07,1.12,1.1,1.1,,1.1,1.1,1.13,1.08,,1.1,1.1,
Benfica,c,6.0,6.0,,,,6.0,6.5,6.5,7.0,7.0,7.0,5.5,6.5,6.5,,5.75,7.0,6.0,6.5,,7.27,6.63,
Anderlecht,c,101.0,101.0,,,,101.0,101.0,126.0,126.0,25.0,126.0,34.0,101.0,101.0,,,25.0,101.0,126.0,,48.0,44.0,
Chelsea,e,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,0.03,
Schalke 04,e,1.14,1.17,,,,1.15,1.17,1.12,1.13,1.15,1.2,1.17,1.14,1.14,,1.12,1.15,1.14,1.15,,1.16,1.11,
Basel,e,5.5,5.0,,,,4.5,4.5,5.5,5.0,5.0,4.0,4.5,5.0,4.5,,5.25,5.0,4.0,5.0,,4.61,3.91,
Steaua Bucharest,e,151.0,101.0,,,,101.0,101.0,101.0,151.0,100.0,81.0,51.0,67.0,101.0,,81.0,100.0,67.0,101.0,,19.0,14.6,
Arsenal,f,1.13,1.12,,,,1.1,1.1,1.06,1.1,1.1,1.08,1.11,1.1,1.1,,1.09,1.1,1.08,1.1,,1.14,1.15,
Napoli,f,1.5,1.5,,,,1.5,1.5,1.5,1.5,1.65,1.53,1.5,1.53,1.53,,1.5,1.65,1.53,1.5,,1.67,1.61,
Bor Dortmund,f,1.91,1.91,,,,1.9,1.91,1.91,1.8,1.7,1.85,1.8,1.83,1.85,,1.8,1.7,1.85,1.9,,1.8,1.68,
Zenit St Petersburg,g,1.4,1.4,,,,1.4,1.44,1.4,,1.45,1.4,1.4,1.44,1.4,,1.42,1.45,1.4,1.4,,1.34,,
Porto,g,2.88,2.75,,,,2.7,2.62,2.8,,2.55,2.8,2.75,2.62,2.65,,2.65,2.55,2.75,2.5,,2.9,,
Austria Vienna,g,126.0,101.0,,,,126.0,101.0,101.0,,125.0,41.0,67.0,51.0,101.0,,101.0,125.0,41.0,67.0,,24.0,,
AC Milan,h,1.14,1.12,,,,1.12,1.14,1.12,1.13,1.12,1.15,1.1,1.11,1.12,,1.12,1.12,1.14,1.12,,1.23,,
Ajax,h,7.0,8.0,,,,7.0,7.0,7.0,8.0,8.5,6.0,8.0,7.0,7.5,,7.0,8.5,7.0,7.5,,5.46,,
Celtic,h,17.0,17.0,,,,17.0,15.0,15.0,17.0,12.0,15.0,12.0,13.0,13.0,,15.0,12.0,17.0,13.0,,9.55,,
