name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.06,1.05,,,,,1.05,1.05,,1.08,1.05,1.06,1.05,,,1.02,1.08,1.06,,,1.08,0.03,
Bayer Leverkusen,a,1.25,1.22,,,,,1.17,1.25,,1.25,1.22,1.25,1.2,,,1.2,1.25,1.22,,,1.13,1.06,
Shakhtar Donetsk,a,2.88,3.25,,,,,3.5,2.88,,2.3,3.5,3.0,3.25,,,3.25,2.3,3.25,,,2.25,2.16,
Real Sociedad,a,51.0,51.0,,,,,41.0,41.0,,100.0,19.0,21.0,41.0,,,51.0,100.0,51.0,,,48.0,0.03,
Juventus,b,1.36,1.4,,,,,1.4,1.36,,1.45,1.4,1.36,1.36,,,1.3,1.45,1.4,1.4,,1.43,1.38,
Galatasaray,b,3.0,3.25,,,,,2.88,3.2,,2.5,3.2,3.25,3.0,,,3.2,2.5,3.0,3.25,,2.99,2.91,
FC Copenhagen,b,29.0,15.0,,,,,17.0,17.0,,15.0,15.0,8.0,17.0,,,51.0,15.0,17.0,17.0,,10.5,11.7,
Real Madrid,b,,,,,,,,,,,,,,,,,,,,,,0.03,
PSG,c,,,,,,,,,,,,1.01,,,,,,,,,,0.03,
Olympiakos,c,1.13,1.11,,,,,1.1,1.1,,1.1,1.07,1.12,1.1,,,1.1,1.1,1.13,1.08,,1.1,1.06,
Benfica,c,6.0,6.0,,,,,6.5,6.5,,7.0,7.0,5.5,6.5,,,5.75,7.0,6.0,6.5,,8.22,7.6,
Anderlecht,c,101.0,101.0,,,,,101.0,126.0,,25.0,126.0,34.0,101.0,,,,25.0,101.0,126.0,,38.0,0.03,
Chelsea,e,1.03,1.05,,,,1.03,1.05,1.02,1.03,1.04,1.03,1.04,1.04,,,1.02,1.04,1.04,1.04,,1.05,0.03,
Schalke 04,e,1.2,1.17,,,,1.2,1.17,1.22,1.2,1.1,1.29,1.2,1.2,,,1.16,1.1,1.17,1.17,,1.22,0.03,
Basel,e,3.75,3.75,,,,3.75,3.5,3.6,3.75,4.0,3.1,3.4,3.75,,,3.5,4.0,3.75,3.75,,3.09,0.03,
Steaua Bucharest,e,51.0,51.0,,,,51.0,67.0,51.0,51.0,30.0,34.0,26.0,26.0,,,34.0,30.0,51.0,34.0,,11.4,0.03,
Bor Dortmund,f,1.17,1.17,,,,1.17,1.17,1.14,1.14,1.18,1.17,1.17,1.2,,,1.16,1.18,1.17,1.18,,1.15,1.06,
Arsenal,f,1.62,1.62,,,,1.62,1.53,1.53,1.62,1.65,1.57,1.53,1.57,,,1.55,1.65,1.62,1.55,,1.85,1.53,
Napoli,f,1.67,1.67,,,,1.65,1.73,1.67,1.67,1.6,1.67,1.73,1.67,,,1.6,1.6,1.67,1.65,,1.74,1.44,
Marseille,f,51.0,34.0,,,,51.0,51.0,51.0,51.0,25.0,51.0,26.0,26.0,,,41.0,25.0,34.0,34.0,,11.4,0.03,
Atletico Madrid,g,,,,,,,1.0,,,,,1.01,,,,,,1.0,,,,,
Zenit St Petersburg,g,,,,,,,1.67,,,,,1.4,,,,,,1.62,,,1.1,,
Porto,g,,,,,,,2.1,,,,,2.62,,,,,,2.2,,,2.9,,
Austria Vienna,g,,,,,,,101.0,,,,,34.0,,,,,,51.0,,,24.0,,
Barcelona,h,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,
AC Milan,h,1.14,1.06,,,,1.11,1.08,1.17,1.07,1.06,1.14,1.08,1.07,,,1.08,1.06,1.08,1.1,,1.15,,
Celtic,h,8.0,11.0,,,,8.0,11.0,7.5,11.0,8.0,7.5,8.0,15.0,,,9.0,8.0,11.0,10.0,,8.03,,
Ajax,h,15.0,15.0,,,,15.0,13.0,13.0,15.0,15.0,11.0,13.0,11.0,,,13.0,15.0,13.0,13.0,,10.5,,
